t_ms,activity,fsr0,fsr1,fsr2,fsr3,fsr4,fsr5,fsr6,fsr7,qw,qx,qy,qz,ax,ay,az
580,seated_bounce,529,566,202,840,1048,466,633,307,1.003,0.0204,0.0296,-0.0154,-0.002,0.026,8.756
600,seated_bounce,579,508,191,204,284,117,150,82,0.9987,0.0071,0.0004,-0.0317,-0.045,-0.039,8.453
620,seated_bounce,552,505,191,20,8,10,24,19,1.0134,-0.0262,0.0371,0.0156,0.042,0.029,8.316
640,seated_bounce,536,491,199,70,74,52,61,23,1.0042,-0.0257,0.0078,0.0343,-0.004,0.04,8.362
660,seated_bounce,564,532,184,455,595,244,364,155,0.996,0.0247,-0.0232,0.0334,0.046,-0.108,8.585
680,seated_bounce,555,520,201,1148,1384,720,923,450,1.0009,-0.03,0.0469,-0.032,0.014,0.069,8.959
700,seated_bounce,553,525,211,1736,2066,1316,1492,778,1.0209,0.0053,0.0008,0.0302,0.095,-0.003,9.437
720,seated_bounce,564,512,190,2251,2679,1782,2088,1212,1.0011,0.0241,-0.0196,-0.0175,-0.02,-0.092,9.961
740,seated_bounce,544,562,199,2685,2903,2110,2377,1473,0.9981,0.0178,-0.0097,0.0325,-0.113,-0.045,10.466
760,seated_bounce,584,549,193,2873,3060,2397,2623,1676,0.9894,-0.0469,0.0151,-0.0044,0.035,-0.027,10.89
780,seated_bounce,533,528,197,3022,3194,2574,2796,1913,1.0095,0.0312,0.0092,-0.0229,-0.032,-0.028,11.183
800,seated_bounce,557,524,201,3046,3271,2617,2777,1904,1.0025,0.0483,-0.0188,-0.0329,-0.025,0.031,11.307
820,seated_bounce,591,545,176,3013,3274,2551,2737,1882,0.9943,0.0101,0.0006,-0.0093,0.051,0.014,11.248
840,seated_bounce,544,524,181,2989,3142,2490,2709,1796,1.029,-0.0145,-0.0161,0.0064,0.033,-0.048,11.012
860,seated_bounce,561,552,191,2768,3050,2227,2377,1598,1.0083,0.0106,0.016,0.0194,0.0,-0.013,10.63
880,seated_bounce,559,527,193,2490,2751,1958,2146,1303,1.0053,-0.0369,0.0141,-0.0131,0.05,-0.031,10.146
900,seated_bounce,558,545,189,1999,2330,1505,1727,953,1.0029,0.0052,0.0083,0.0022,0.01,-0.034,9.622
920,seated_bounce,541,505,186,1382,1680,920,1086,575,1.0032,0.0426,0.007,0.0257,-0.003,0.038,9.121
940,seated_bounce,541,538,189,645,836,407,566,245,0.9998,-0.0102,-0.0188,-0.0275,-0.11,-0.085,8.704
960,seated_bounce,537,521,201,168,207,100,120,65,1.003,-0.0162,0.0006,0.0177,0.003,-0.015,8.422
980,seated_bounce,549,540,195,18,15,16,14,6,0.9957,-0.0258,0.0479,0.0109,-0.019,0.069,8.311
1000,seated_bounce,543,559,202,102,139,58,75,35,1.0152,0.0199,0.0204,-0.0012,0.017,-0.012,8.383
1020,seated_bounce,567,527,185,531,711,312,445,203,1.0057,-0.0168,0.0116,0.0191,-0.011,0.011,8.631
1040,seated_bounce,546,536,218,1242,1482,767,966,487,0.9909,-0.0175,-0.0024,-0.0004,-0.027,-0.004,9.022
1060,seated_bounce,572,518,187,1873,2224,1301,1574,868,0.9853,-0.004,-0.0048,0.0023,0.019,-0.049,9.51
1080,seated_bounce,577,556,206,2364,2644,1898,2009,1241,0.9959,-0.0113,-0.0082,-0.02,0.048,0.012,10.035
1100,seated_bounce,569,530,184,2676,2943,2142,2390,1497,0.9985,-0.0268,-0.0242,0.0236,0.017,-0.026,10.533
1120,seated_bounce,609,519,205,2827,3183,2449,2618,1696,1.0001,-0.0039,-0.0036,0.0298,0.039,0.017,10.941
1140,seated_bounce,541,488,204,2944,3270,2620,2798,1899,1.0037,0.0397,-0.0118,0.013,0.003,-0.036,11.211
1160,seated_bounce,574,502,193,3034,3272,2666,2838,1941,0.993,0.0097,-0.0082,0.0231,0.025,0.11,11.31
1180,seated_bounce,557,553,199,2981,3224,2516,2731,1885,0.9924,0.0186,0.0232,0.0059,0.005,-0.0,11.224
1200,seated_bounce,524,522,188,2890,3176,2484,2681,1735,1.0055,-0.0064,0.007,-0.0306,-0.039,-0.049,10.966
1220,seated_bounce,547,521,189,2762,2954,2233,2383,1517,1.0051,-0.0034,-0.0014,0.0051,-0.073,0.046,10.565
1240,seated_bounce,563,532,190,2457,2731,1941,2032,1276,0.9996,-0.0034,-0.027,-0.0485,0.127,0.019,10.073
1260,seated_bounce,593,555,194,1867,2196,1433,1579,877,0.9772,-0.0315,0.0072,0.0209,0.077,-0.03,9.547
1280,seated_bounce,565,523,188,1221,1619,833,1041,517,0.9966,-0.003,0.0173,0.0267,-0.105,0.038,9.055
1300,seated_bounce,565,547,192,567,719,350,445,218,1.0085,0.0076,-0.0164,-0.0132,0.008,0.032,8.654
1320,seated_bounce,521,537,195,116,144,69,86,47,1.0034,0.0099,0.0295,-0.0165,0.025,-0.008,8.396
1340,seated_bounce,546,514,187,11,16,11,26,20,1.0068,0.0175,-0.041,0.0473,0.04,0.09,8.31
1360,seated_bounce,565,536,192,129,183,74,103,61,1.0093,0.0124,0.0159,-0.0471,-0.059,-0.019,8.409
1380,seated_bounce,537,509,197,641,823,399,483,229,1.0032,-0.018,0.0057,0.0081,-0.054,0.003,8.679
1400,seated_bounce,537,524,188,1334,1649,872,1075,511,0.9933,0.0107,0.0185,-0.0086,-0.053,0.034,9.087
1420,seated_bounce,544,559,184,1992,2375,1528,1682,918,1.008,0.0168,0.0135,-0.0016,-0.061,0.002,9.585
1440,seated_bounce,569,535,195,2419,2755,1947,2153,1281,0.9976,0.0519,0.0195,0.0195,0.026,0.01,10.11
1460,seated_bounce,570,548,197,2707,2989,2245,2354,1541,0.9985,-0.0001,-0.0277,-0.0101,0.03,0.032,10.598
1480,seated_bounce,543,536,183,2858,3178,2479,2617,1782,0.9928,0.0041,-0.0138,0.0097,0.003,-0.035,10.989
1500,seated_bounce,555,513,189,2975,3252,2583,2808,1898,1.0058,-0.0197,0.015,-0.0209,-0.115,0.016,11.237
1520,seated_bounce,543,503,187,3018,3253,2532,2859,1976,1.0015,-0.0022,0.0128,-0.0155,0.033,-0.035,11.309
1540,seated_bounce,566,519,184,3023,3231,2601,2777,1850,0.9998,0.0149,0.0,-0.0235,0.071,-0.011,11.198
1560,seated_bounce,571,536,207,2888,3126,2432,2626,1759,0.9799,0.0043,0.0174,-0.0063,-0.017,0.104,10.916
1580,seated_bounce,545,568,201,2645,2977,2193,2414,1575,1.0085,0.0081,0.0044,0.0292,-0.103,0.019,10.499
1600,seated_bounce,566,518,208,2327,2664,1777,2093,1195,1.0042,-0.0109,-0.0208,0.0249,0.045,-0.062,9.998
1620,seated_bounce,535,511,191,1906,2132,1349,1561,884,1.0018,-0.008,-0.0109,0.0061,-0.005,-0.052,9.474
1640,seated_bounce,583,521,186,1143,1435,798,964,454,1.0112,-0.0241,0.0065,-0.0096,-0.089,-0.108,8.99
1660,seated_bounce,552,535,183,491,668,294,396,180,1.0016,0.0178,0.0198,-0.0205,-0.086,0.001,8.608
1680,seated_bounce,555,543,189,84,97,53,72,46,1.0209,0.0349,-0.0001,0.0045,-0.025,-0.012,8.372
1700,seated_bounce,532,550,195,12,12,11,11,21,1.008,0.0029,-0.0062,0.0124,0.025,0.026,8.313
1720,seated_bounce,580,545,200,184,260,96,143,75,1.0026,0.0024,-0.0047,-0.0123,0.054,0.073,8.437
1740,seated_bounce,564,540,179,719,944,450,574,253,0.9903,0.007,0.0302,0.0477,-0.095,0.108,8.73
1760,seated_bounce,546,520,185,1476,1745,967,1203,576,1.0034,-0.0151,0.0143,-0.0253,-0.065,-0.055,9.154
1780,seated_bounce,520,535,191,2035,2341,1482,1721,982,1.0032,-0.0115,-0.0139,-0.0036,0.003,-0.003,9.659
1800,seated_bounce,563,528,188,2419,2739,1932,2163,1347,0.9976,0.0193,0.0187,0.0089,0.008,-0.054,10.183
1820,seated_bounce,555,514,203,2694,3114,2287,2478,1587,1.0101,0.0134,-0.0198,-0.0234,0.01,-0.08,10.661
1840,seated_bounce,517,554,186,2928,3224,2502,2714,1805,1.0133,0.0408,-0.0085,0.0315,-0.036,0.016,11.035
1860,seated_bounce,529,575,194,2914,3251,2529,2806,1861,0.9898,0.0219,-0.0322,0.021,-0.009,-0.003,11.258
1880,seated_bounce,575,524,203,3026,3269,2591,2822,1912,1.0113,0.0034,-0.0191,-0.012,-0.136,-0.018,11.304
1900,seated_bounce,552,560,207,3033,3241,2534,2702,1823,0.9857,-0.001,-0.0328,-0.0271,-0.068,0.0,11.167
1920,seated_bounce,554,512,204,2849,3125,2407,2552,1718,1.0162,0.01,0.0053,0.0202,0.029,-0.04,10.864
1940,seated_bounce,555,524,195,2601,2923,2151,2305,1522,1.0058,0.027,0.0263,0.0027,-0.036,0.08,10.432
1960,seated_bounce,585,532,202,2249,2598,1781,1994,1182,1.0078,0.0347,0.0009,0.0096,0.04,0.049,9.923
1980,seated_bounce,541,551,211,1734,1975,1268,1466,815,1.009,0.0071,0.0276,-0.0025,-0.025,-0.087,9.401
2000,seated_bounce,579,524,201,1024,1354,704,833,437,0.9884,-0.0458,0.005,-0.0066,0.022,0.045,8.928
2020,seated_bounce,557,557,208,400,522,212,320,156,0.9888,-0.0273,-0.0071,0.015,-0.055,-0.0,8.564
2040,seated_bounce,563,520,194,49,59,37,42,27,0.9915,-0.0164,0.0075,0.0039,0.03,0.1,8.353
2060,seated_bounce,550,523,183,13,13,13,14,16,1.012,0.0334,0.0108,-0.0107,0.036,-0.116,8.32
2080,seated_bounce,551,564,206,247,317,131,167,94,0.9863,0.0009,-0.0137,0.0027,0.072,-0.013,8.469
2100,seated_bounce,528,493,191,845,962,526,673,324,1.0094,-0.0203,-0.0129,-0.031,0.024,0.007,8.783
2120,seated_bounce,567,557,194,1557,1781,1026,1243,641,1.0081,-0.0067,0.0059,0.0139,-0.01,-0.111,9.223
2140,seated_bounce,561,520,193,2034,2418,1516,1863,1049,0.9953,-0.0025,0.0356,0.0298,0.003,0.029,9.735
2160,seated_bounce,581,515,187,2544,2816,2012,2335,1372,1.0011,0.0327,-0.0055,-0.006,-0.06,-0.121,10.256
2180,seated_bounce,562,534,190,2659,3043,2370,2505,1614,1.0076,-0.0063,0.0205,0.0066,-0.084,-0.084,10.722
2200,seated_bounce,536,526,197,2976,3252,2477,2713,1888,1.0033,-0.0151,-0.006,0.0131,0.032,-0.011,11.076
2220,seated_bounce,551,571,186,2971,3261,2539,2805,1890,0.997,-0.032,-0.016,0.0169,0.076,-0.008,11.276
2240,seated_bounce,567,541,201,3021,3252,2597,2783,1858,0.9996,0.0459,-0.0088,-0.0026,0.08,0.012,11.296
2260,seated_bounce,544,500,187,2925,3163,2549,2748,1948,0.9859,-0.0387,-0.0161,0.01,-0.066,-0.068,11.133
2280,seated_bounce,566,524,210,2815,3056,2425,2624,1663,1.0003,0.01,0.0162,0.0185,0.005,0.069,10.809
2300,seated_bounce,564,517,199,2570,2922,2141,2269,1463,1.0026,-0.0483,0.0007,0.0154,0.015,0.039,10.362
2320,seated_bounce,592,534,188,2183,2545,1699,1950,1172,0.9965,0.0133,0.0184,-0.0089,0.024,-0.065,9.848
2340,seated_bounce,553,548,197,1619,1948,1189,1410,701,0.9866,0.026,0.0029,0.0089,0.049,0.076,9.329
2360,seated_bounce,560,508,206,984,1224,613,802,394,0.9937,0.021,0.0113,-0.0059,0.002,-0.034,8.868
2380,seated_bounce,537,510,210,345,410,191,259,113,1.004,0.0406,-0.0214,0.0386,0.019,-0.073,8.524
2400,seated_bounce,567,548,192,32,33,18,30,23,0.9917,0.0214,0.0017,0.0224,-0.019,0.045,8.337
2420,seated_bounce,602,521,199,21,25,18,20,20,0.9899,0.016,-0.0062,-0.0151,0.025,-0.025,8.33
2440,seated_bounce,569,491,185,308,400,183,231,110,0.9906,-0.0033,0.0057,-0.0064,0.002,0.075,8.505
2460,seated_bounce,559,549,198,915,1122,583,730,359,1.0049,0.0118,0.0267,-0.0182,-0.028,0.025,8.839
2480,seated_bounce,570,530,185,1646,1867,1093,1397,680,0.9946,0.0107,-0.0255,0.0017,-0.017,-0.069,9.293
2500,seated_bounce,599,529,197,2193,2480,1648,1898,1074,1.0148,-0.0178,0.0031,-0.0469,0.026,-0.071,9.81
2520,seated_bounce,543,516,185,2519,2885,2114,2231,1437,1.0034,0.0129,-0.029,-0.0039,0.059,-0.022,10.327
2540,seated_bounce,552,557,199,2833,3045,2375,2563,1657,1.0029,-0.0109,-0.0243,-0.0206,0.003,0.004,10.781
2560,seated_bounce,551,543,197,2982,3207,2539,2792,1865,0.9758,0.0108,0.0144,-0.0063,0.032,0.071,11.115
2580,seated_bounce,540,537,187,3011,3262,2596,2817,1878,0.993,0.0052,-0.0121,-0.0034,0.006,0.058,11.29
2600,seated_bounce,555,563,201,3038,3249,2529,2794,1918,1.006,-0.021,-0.0119,-0.0375,0.041,0.0,11.283
2620,seated_bounce,542,537,213,2954,3148,2542,2733,1811,0.9965,0.009,-0.0177,0.0093,0.028,-0.011,11.096
2640,seated_bounce,551,544,191,2864,3153,2446,2559,1652,1.012,0.0107,-0.0252,-0.0218,-0.004,-0.018,10.752
2660,seated_bounce,565,512,202,2544,2865,2075,2290,1352,0.9981,-0.0044,-0.0282,0.0068,0.007,0.06,10.291
2680,seated_bounce,538,542,194,2086,2443,1653,1905,1047,1.006,0.0092,0.0005,0.014,-0.015,-0.003,9.772
2700,seated_bounce,532,537,190,1536,1901,1101,1346,679,1.0167,0.038,0.0024,0.0418,0.024,0.003,9.258
2720,seated_bounce,504,531,206,862,1157,554,685,328,0.9802,-0.0187,-0.0061,0.0147,-0.066,0.012,8.811
2740,seated_bounce,558,542,201,249,367,155,192,102,0.9842,0.0044,-0.0309,0.0277,0.033,0.054,8.487
2760,seated_bounce,550,529,192,30,24,16,24,22,0.9948,-0.0053,-0.0527,0.0071,0.103,0.058,8.324
2780,seated_bounce,552,533,177,38,58,29,39,34,1.0119,-0.0137,0.0149,-0.0228,0.066,-0.015,8.344
2800,seated_bounce,550,532,198,379,493,202,271,148,0.9918,-0.001,0.0025,0.0079,-0.075,0.048,8.544
2820,seated_bounce,551,527,188,986,1281,670,801,404,0.9763,0.0115,0.0024,-0.0138,-0.014,0.052,8.898
2840,seated_bounce,558,524,183,1702,2013,1196,1383,779,1.0117,0.034,0.0499,-0.0159,-0.021,-0.011,9.364
2860,seated_bounce,551,558,192,2233,2558,1691,1933,1124,0.9821,-0.0091,0.0223,0.0453,-0.006,0.0,9.885
2880,seated_bounce,559,549,191,2640,2926,2158,2300,1477,0.9757,-0.0378,0.0024,-0.0225,-0.011,-0.008,10.397
2900,seated_bounce,579,532,188,2818,3104,2314,2602,1703,0.984,-0.0237,0.0044,-0.0084,-0.007,0.014,10.837
2920,seated_bounce,570,545,180,2940,3228,2495,2709,1916,0.9977,-0.004,-0.0168,0.0092,0.021,-0.008,11.151
2940,seated_bounce,565,548,194,3073,3270,2626,2763,1800,1.0028,-0.0004,0.0295,-0.0075,-0.022,0.005,11.3
2960,seated_bounce,539,529,197,3078,3227,2567,2821,1912,1.009,0.0037,0.0009,-0.0059,-0.011,0.099,11.267
2980,seated_bounce,566,527,187,2970,3195,2549,2642,1787,0.9855,-0.0155,0.0023,-0.0189,-0.049,-0.068,11.056
3000,seated_bounce,592,540,183,2751,3000,2277,2553,1655,1.0206,0.0014,-0.0308,0.0114,-0.063,0.065,10.692
3020,seated_bounce,528,549,198,2498,2728,1956,2174,1383,0.9733,0.0095,-0.047,0.0065,-0.018,0.015,10.219
3040,seated_bounce,557,507,191,2052,2403,1570,1796,1053,1.0129,0.0031,0.0122,-0.0042,0.039,0.053,9.697
3060,seated_bounce,529,541,196,1536,1722,999,1197,635,0.9993,-0.0434,0.0092,0.0012,-0.087,-0.058,9.188
3080,seated_bounce,568,531,194,823,942,507,579,282,0.9925,0.0365,0.0006,0.0191,-0.041,0.018,8.756
3100,seated_bounce,578,571,192,223,270,123,149,83,0.9991,-0.0166,-0.0045,0.0111,-0.023,-0.042,8.453
3120,seated_bounce,556,527,195,13,20,15,8,19,1.0147,-0.017,-0.0164,0.0051,-0.013,-0.035,8.316
3140,seated_bounce,545,548,192,68,84,45,46,26,0.9931,-0.0054,-0.0208,-0.0264,0.019,-0.038,8.362
3160,seated_bounce,568,563,209,426,585,273,344,171,1.0024,-0.0137,-0.0029,-0.0127,0.051,0.007,8.585
3180,seated_bounce,558,550,203,1135,1375,764,865,461,1.0045,-0.0045,0.0352,0.0429,-0.038,0.084,8.959
3200,seated_bounce,548,553,204,1728,2152,1294,1503,827,1.003,0.0072,0.0221,-0.0528,0.011,0.056,9.437
3220,seated_bounce,569,530,196,2317,2609,1849,1926,1189,0.9843,-0.0037,-0.0067,-0.0272,0.042,0.017,9.961
3240,seated_bounce,579,521,201,2601,2948,2191,2348,1485,0.9978,-0.0175,-0.0058,0.0196,-0.037,0.063,10.466
3260,seated_bounce,528,511,201,2897,3098,2374,2521,1762,0.9982,-0.0361,-0.0011,-0.029,0.034,0.021,10.89
3280,seated_bounce,564,543,196,3014,3257,2533,2780,1863,0.9838,0.0197,0.0142,0.0002,-0.003,0.044,11.183
3300,seated_bounce,545,525,198,3070,3312,2620,2758,1956,0.9924,0.0138,0.0091,-0.0128,0.007,-0.001,11.307
3320,seated_bounce,571,535,195,2989,3236,2599,2801,1982,0.9965,-0.003,0.0032,-0.0394,-0.012,-0.008,11.248
3340,seated_bounce,578,558,198,2940,3197,2538,2657,1770,0.9998,0.0085,-0.0427,0.0137,0.028,0.088,11.012
3360,seated_bounce,578,552,194,2705,3000,2228,2476,1578,1.0246,-0.0097,-0.0156,0.0233,0.057,0.068,10.63
3380,seated_bounce,553,562,194,2495,2733,1944,2223,1225,1.0028,-0.0107,-0.0036,-0.0041,0.033,-0.05,10.146
3400,seated_bounce,611,504,193,1955,2311,1489,1721,936,1.0143,0.0076,0.0169,0.033,-0.088,0.071,9.622
3420,seated_bounce,589,523,196,1384,1739,920,1111,595,0.9747,0.0005,-0.0034,-0.0108,-0.022,-0.068,9.121
3440,seated_bounce,584,542,204,674,855,400,543,254,1.0038,0.0083,0.0187,-0.0162,0.006,0.027,8.704
3460,seated_bounce,558,520,197,176,203,96,129,75,0.9905,0.0114,0.0238,0.0035,0.025,0.006,8.422
3480,seated_bounce,561,531,205,18,14,15,6,11,1.0081,-0.004,0.0015,0.0107,-0.011,-0.047,8.311
3500,seated_bounce,559,559,195,104,125,63,76,36,1.011,0.0169,-0.0382,-0.0011,0.052,-0.001,8.383
3520,seated_bounce,549,539,202,496,719,322,423,191,0.9836,0.0434,0.0046,-0.0179,-0.061,-0.046,8.631
3540,seated_bounce,589,518,197,1218,1563,796,980,496,0.9927,0.0134,-0.0255,-0.0154,-0.005,0.005,9.022
3560,seated_bounce,578,534,188,1857,2241,1322,1573,886,1.0076,0.0006,0.0098,0.0133,0.093,-0.001,9.51
3580,seated_bounce,570,538,193,2373,2649,1837,2076,1236,1.005,-0.013,-0.0071,-0.024,-0.044,0.01,10.035
3600,seated_bounce,574,528,178,2681,2988,2142,2437,1453,1.0103,-0.048,-0.0111,-0.0057,-0.034,0.055,10.533
3620,seated_bounce,572,526,186,2842,3141,2378,2652,1818,1.0139,0.0008,-0.0122,0.0072,0.002,-0.002,10.941
3640,seated_bounce,590,534,201,2989,3211,2518,2755,1889,1.0047,0.0066,-0.0094,-0.0192,-0.039,0.015,11.211
3660,seated_bounce,559,536,186,3046,3255,2599,2893,1904,1.0079,0.0079,-0.0275,-0.0434,-0.081,-0.095,11.31
3680,seated_bounce,576,538,178,2956,3212,2577,2768,1863,0.9837,-0.0312,0.0042,-0.0013,-0.032,0.058,11.224
3700,seated_bounce,546,491,186,2890,3142,2394,2646,1746,1.0034,0.008,-0.0408,-0.0261,-0.003,0.048,10.966
3720,seated_bounce,587,547,191,2703,2991,2267,2504,1510,0.9938,0.0211,0.0461,0.0252,0.04,0.118,10.565
3740,seated_bounce,573,548,191,2417,2741,1854,2091,1299,1.018,-0.003,-0.0374,0.0235,-0.007,-0.033,10.073
3760,seated_bounce,575,509,191,1868,2287,1378,1622,906,1.0072,-0.0369,-0.0043,0.009,-0.021,0.03,9.547
3780,seated_bounce,579,525,172,1232,1547,889,1057,538,1.0024,-0.0329,0.0107,-0.0457,0.013,-0.022,9.055
3800,seated_bounce,524,530,204,566,770,346,468,209,0.9968,-0.0029,0.0223,-0.044,-0.006,-0.035,8.654
3820,seated_bounce,567,553,184,112,149,68,87,42,1.0056,-0.0112,0.0072,0.0477,0.018,-0.041,8.396
3840,seated_bounce,561,535,195,10,6,17,9,21,1.004,0.0158,-0.0056,0.0172,0.074,-0.037,8.31
3860,seated_bounce,575,510,200,124,178,73,102,59,1.0199,-0.0052,-0.0171,0.0081,0.027,0.017,8.409
3880,seated_bounce,588,508,189,592,829,396,472,224,1.0141,0.0092,0.0151,-0.0035,0.005,-0.062,8.679
3900,seated_bounce,579,534,200,1339,1573,913,1087,551,0.997,-0.0055,-0.0016,-0.0177,-0.002,-0.06,9.087
3920,seated_bounce,544,528,205,1929,2309,1410,1612,954,1.0056,0.0344,-0.0002,0.0032,-0.018,-0.049,9.585
3940,seated_bounce,553,519,203,2388,2744,1899,2170,1251,0.9965,0.0061,-0.0267,-0.0337,-0.029,-0.105,10.11
3960,seated_bounce,542,536,200,2688,3033,2244,2378,1548,0.9978,-0.0107,-0.0157,-0.0056,0.067,0.074,10.598
3980,seated_bounce,570,530,193,2900,3141,2474,2668,1771,1.0101,0.0221,0.0368,-0.0198,-0.009,-0.082,10.989
4000,seated_bounce,572,536,203,2990,3254,2523,2753,1950,0.9896,-0.0143,-0.0462,-0.0013,0.005,0.06,11.237
4020,seated_bounce,551,554,207,2991,3228,2671,2794,1851,0.9907,-0.0,0.0129,-0.0026,-0.096,-0.047,11.309
4040,seated_bounce,561,527,194,2995,3167,2575,2782,1879,0.9841,0.0347,-0.0049,0.0222,-0.004,0.008,11.198
4060,seated_bounce,574,497,183,2890,3129,2403,2646,1777,1.0066,0.022,0.0129,0.0066,-0.013,0.083,10.916
4080,seated_bounce,555,531,193,2598,3026,2113,2344,1517,1.0073,-0.0016,0.0069,-0.008,0.053,0.051,10.499
4100,seated_bounce,551,509,189,2337,2717,1728,2084,1244,1.0063,-0.0212,-0.0175,0.0036,0.013,0.045,9.998
4120,seated_bounce,555,520,198,1833,2153,1370,1473,812,0.9968,0.0225,0.0264,-0.016,-0.013,-0.023,9.474
4140,seated_bounce,537,543,181,1173,1380,856,962,492,1.0257,0.0027,0.0084,-0.04,-0.002,0.001,8.99
4160,seated_bounce,550,526,198,481,632,310,364,172,1.0174,0.0138,-0.0295,0.0184,0.031,-0.059,8.608
4180,seated_bounce,560,515,203,91,109,47,56,39,0.9763,-0.0023,0.0136,-0.0178,0.088,-0.074,8.372
4200,seated_bounce,605,519,197,20,14,18,13,14,1.0008,0.0006,-0.0187,-0.0101,-0.036,-0.019,8.313
4220,seated_bounce,573,541,191,187,231,118,137,72,1.0092,-0.0122,0.0114,0.0118,-0.024,0.071,8.437
4240,seated_bounce,571,553,203,718,901,455,576,267,0.9965,0.0416,-0.0102,-0.0131,-0.005,-0.042,8.73
4260,seated_bounce,566,525,186,1427,1747,946,1248,609,1.0043,0.0333,0.0078,-0.0128,0.021,-0.081,9.154
4280,seated_bounce,593,528,169,2066,2366,1587,1715,958,0.9936,0.02,-0.0048,0.027,-0.034,0.028,9.659
4300,seated_bounce,552,523,195,2556,2662,1944,2181,1359,0.9873,-0.0005,-0.0087,-0.0156,0.0,0.002,10.183
4320,seated_bounce,585,539,201,2721,2971,2262,2454,1643,1.0138,-0.0075,-0.0269,0.0026,-0.093,0.057,10.661
4340,seated_bounce,556,551,192,2901,3147,2534,2692,1831,0.9907,-0.0057,-0.014,-0.0046,0.058,-0.04,11.035
4360,seated_bounce,533,539,216,2976,3233,2502,2788,1928,1.0079,-0.0083,-0.0408,-0.0048,0.048,-0.036,11.258
