t_ms,activity,fsr0,fsr1,fsr2,fsr3,fsr4,fsr5,fsr6,fsr7,qw,qx,qy,qz,ax,ay,az
320,firm_eo,2863,2240,237,1124,6,657,14,17,0.9962,0.0047,-0.0072,-0.0251,-0.068,-0.085,9.765
340,firm_eo,2868,2237,245,1137,19,642,18,4,1.0024,-0.0078,-0.0282,-0.0225,-0.017,-0.097,9.73
360,firm_eo,2886,2264,243,1108,17,656,15,18,0.994,-0.0172,0.0296,-0.0067,0.033,-0.039,9.825
380,firm_eo,2871,2250,248,1137,20,630,14,9,1.0013,-0.018,0.0221,0.0028,0.076,0.013,9.837
400,firm_eo,2873,2285,242,1083,20,646,12,12,1.0276,-0.0265,-0.0113,0.0157,0.054,-0.021,9.768
420,firm_eo,2855,2286,250,1121,15,611,9,11,0.9978,-0.0241,-0.0164,0.0209,-0.1,-0.033,9.818
440,firm_eo,2858,2263,233,1119,12,611,17,9,0.9921,0.0591,-0.0158,0.0034,0.023,-0.03,9.737
460,firm_eo,2846,2284,239,1090,21,639,14,10,0.9921,-0.0159,-0.0088,-0.0116,0.079,-0.054,9.8
480,firm_eo,2870,2291,249,1099,13,642,10,12,1.0007,-0.0593,-0.013,-0.0144,0.031,-0.036,9.78
500,firm_eo,2875,2303,243,1081,15,642,11,5,1.0149,-0.0028,0.023,0.0207,0.082,0.013,9.798
520,firm_eo,2810,2311,246,1087,4,640,9,17,0.9949,-0.0182,0.034,0.033,0.147,0.019,9.76
540,firm_eo,2798,2352,230,1045,8,632,11,12,1.0005,0.0221,-0.0028,-0.0219,0.076,-0.02,9.806
560,firm_eo,2817,2331,233,1041,17,646,24,20,0.9862,0.0318,0.0065,0.0128,0.051,-0.038,9.828
580,firm_eo,2817,2370,243,1037,16,643,16,15,1.0118,-0.0024,0.0232,0.0008,0.117,-0.002,9.769
600,firm_eo,2807,2406,250,1045,14,648,13,18,1.0034,0.0138,-0.0429,0.019,0.097,-0.001,9.8
620,firm_eo,2807,2428,239,1000,16,647,15,23,0.9973,-0.0027,-0.0188,-0.0413,0.145,0.01,9.804
640,firm_eo,2786,2466,248,969,16,668,16,9,0.9962,-0.0253,0.0337,0.009,0.177,-0.006,9.786
660,firm_eo,2753,2483,240,1000,21,662,8,18,0.9904,0.0032,-0.004,-0.0019,0.121,0.023,9.816
680,firm_eo,2720,2542,249,962,17,662,17,13,1.0118,0.0216,-0.0149,0.0233,0.111,-0.001,9.773
700,firm_eo,2684,2513,245,978,7,687,21,20,1.0045,-0.0045,0.008,0.0196,0.149,-0.02,9.786
720,firm_eo,2687,2584,239,965,18,715,18,20,0.9907,-0.0213,0.0168,-0.0216,0.067,-0.001,9.814
740,firm_eo,2719,2539,249,935,18,734,9,19,1.0134,0.0017,0.0146,0.0323,0.13,-0.02,9.775
760,firm_eo,2689,2582,233,927,7,736,20,15,1.0035,0.019,0.0084,-0.0022,0.124,0.016,9.759
780,firm_eo,2646,2619,233,928,20,740,10,15,1.0071,0.008,0.0057,-0.0089,0.133,0.048,9.789
800,firm_eo,2655,2611,244,892,15,739,14,9,0.9954,-0.0159,-0.0083,-0.0345,0.164,-0.014,9.842
820,firm_eo,2589,2608,253,897,14,761,12,5,1.0064,0.0044,0.0425,-0.0047,0.124,0.054,9.859
840,firm_eo,2620,2588,241,904,9,762,27,13,0.995,0.0095,0.0099,-0.0014,0.06,0.016,9.772
860,firm_eo,2581,2640,240,911,14,783,15,13,1.0235,-0.0134,0.0051,-0.023,0.1,-0.007,9.813
880,firm_eo,2584,2675,235,904,16,786,18,8,1.0048,-0.0069,-0.0035,-0.0193,0.072,0.027,9.802
900,firm_eo,2558,2682,241,897,13,783,14,13,1.0043,-0.008,0.0029,-0.0031,0.134,-0.028,9.859
920,firm_eo,2516,2703,240,853,18,807,9,25,1.0079,-0.0091,0.0403,-0.0041,0.038,0.013,9.776
940,firm_eo,2540,2702,250,891,20,795,15,14,1.0182,-0.0513,-0.0108,-0.0118,-0.011,0.005,9.855
960,firm_eo,2507,2689,236,865,13,814,13,10,0.9968,-0.0031,-0.0046,-0.0067,0.048,-0.014,9.831
980,firm_eo,2539,2661,230,895,15,808,15,6,0.9954,0.0231,0.0106,0.0091,-0.056,0.018,9.801
1000,firm_eo,2535,2715,247,881,14,805,14,17,1.008,0.0099,-0.0064,-0.0266,-0.028,0.032,9.823
1020,firm_eo,2539,2708,248,913,10,802,17,18,1.0014,-0.0178,-0.0278,0.0186,0.017,0.031,9.798
1040,firm_eo,2557,2702,245,892,14,822,8,7,1.0054,0.0352,-0.007,-0.027,0.012,0.022,9.79
1060,firm_eo,2534,2684,238,877,16,832,14,10,0.9977,-0.0163,-0.0254,0.0098,-0.011,0.111,9.773
1080,firm_eo,2492,2710,243,903,25,810,18,6,0.9968,0.0155,-0.0079,0.0064,-0.013,0.086,9.842
1100,firm_eo,2525,2650,237,906,18,826,15,11,0.9807,-0.0229,0.0284,-0.0087,-0.014,0.008,9.829
1120,firm_eo,2516,2692,236,908,18,830,9,22,1.0016,0.0185,0.006,0.0098,0.011,0.069,9.844
1140,firm_eo,2529,2683,232,924,1,843,22,16,0.9857,-0.015,-0.0033,0.0293,-0.025,-0.041,9.831
1160,firm_eo,2555,2639,239,929,14,810,14,17,1.0006,-0.0017,0.0043,-0.0228,-0.035,0.041,9.846
1180,firm_eo,2538,2670,230,936,17,829,16,14,0.9945,-0.0006,-0.031,0.0117,0.095,0.03,9.813
1200,firm_eo,2504,2711,232,926,24,865,9,11,0.9918,0.0215,0.0055,0.0067,0.079,-0.004,9.801
1220,firm_eo,2484,2717,244,898,11,859,22,14,0.9931,-0.0074,0.0201,0.0101,0.031,0.016,9.827
1240,firm_eo,2480,2704,239,906,13,874,23,17,1.0113,0.0017,-0.0097,-0.0131,-0.055,0.065,9.773
1260,firm_eo,2462,2691,241,938,14,879,11,13,0.994,0.0347,0.0061,-0.0089,-0.017,0.021,9.801
1280,firm_eo,2485,2681,237,952,14,872,10,8,1.0032,0.0215,-0.039,0.0086,-0.006,0.011,9.829
1300,firm_eo,2484,2671,237,924,16,890,14,10,1.0065,0.0005,0.0312,-0.0335,0.0,0.0,9.837
1320,firm_eo,2532,2665,251,935,17,881,16,9,0.9914,0.016,-0.019,0.0002,-0.033,0.069,9.811
1340,firm_eo,2534,2673,227,990,6,893,8,15,1.0147,0.0382,0.0217,0.0493,-0.024,0.058,9.826
1360,firm_eo,2533,2676,242,986,7,893,17,18,1.0071,0.0074,0.0213,-0.0119,-0.003,-0.011,9.807
1380,firm_eo,2545,2690,230,963,9,873,9,8,0.9969,-0.0456,0.0106,0.029,0.049,0.03,9.859
1400,firm_eo,2514,2631,234,950,12,870,10,20,1.008,-0.0341,0.0301,-0.012,-0.027,0.026,9.836
1420,firm_eo,2511,2629,236,965,14,873,17,16,0.9878,-0.0073,-0.0158,-0.0221,-0.026,0.029,9.815
1440,firm_eo,2516,2686,233,982,22,880,10,2,1.0081,0.009,-0.0137,-0.0185,0.055,0.022,9.786
1460,firm_eo,2496,2675,241,939,14,890,19,10,0.9895,0.021,0.027,-0.0022,0.136,0.043,9.745
1480,firm_eo,2450,2662,234,949,17,927,16,9,0.9949,-0.0051,-0.0005,-0.0038,0.07,0.021,9.845
1500,firm_eo,2472,2693,249,958,24,896,11,23,0.9887,0.0227,0.0283,-0.017,0.061,0.047,9.816
1520,firm_eo,2461,2677,239,943,8,914,21,19,1.0002,0.0038,0.022,-0.0151,0.073,0.009,9.785
1540,firm_eo,2432,2702,220,934,15,925,9,26,1.0136,-0.0031,0.0077,-0.0167,0.087,-0.062,9.803
1560,firm_eo,2459,2712,247,934,13,898,19,9,1.0137,0.0041,-0.0088,-0.0029,0.101,-0.007,9.814
1580,firm_eo,2449,2746,245,910,9,942,12,3,0.9957,0.0193,-0.0097,0.0243,0.097,0.012,9.766
1600,firm_eo,2393,2750,246,913,20,926,8,7,1.0021,0.001,0.0212,0.0282,0.116,0.019,9.797
1620,firm_eo,2421,2743,243,920,20,939,11,16,0.9865,-0.0196,0.0168,0.0412,0.079,-0.014,9.786
1640,firm_eo,2387,2739,241,911,4,929,3,0,1.0027,0.0194,-0.0049,-0.0121,0.105,-0.028,9.832
1660,firm_eo,2374,2767,233,874,20,955,6,10,0.9884,-0.0064,-0.0194,-0.031,0.079,-0.002,9.816
1680,firm_eo,2341,2792,260,894,15,929,19,8,0.9826,0.0219,-0.0078,-0.0295,0.045,-0.015,9.811
1700,firm_eo,2366,2793,239,875,14,949,11,14,1.0059,0.004,0.0148,0.0384,0.081,0.014,9.844
1720,firm_eo,2339,2783,242,861,20,962,9,12,0.9968,-0.017,-0.0035,0.0104,0.052,-0.006,9.862
1740,firm_eo,2335,2806,236,873,14,953,16,19,0.9988,-0.0018,-0.0256,0.0048,0.058,0.006,9.772
1760,firm_eo,2334,2813,256,852,15,981,12,8,0.9868,-0.0082,0.0258,-0.013,0.016,0.011,9.811
1780,firm_eo,2273,2825,243,829,12,1002,9,10,1.0005,-0.0513,0.0002,0.0075,0.051,-0.021,9.793
1800,firm_eo,2252,2806,236,834,5,978,15,9,0.9917,-0.0065,-0.0162,-0.0328,0.096,-0.041,9.818
1820,firm_eo,2223,2819,241,866,21,986,5,11,0.9785,-0.0093,0.0149,-0.0094,0.072,-0.061,9.796
1840,firm_eo,2215,2847,239,831,4,993,15,13,0.9813,0.034,-0.0128,0.0352,0.067,-0.024,9.803
1860,firm_eo,2218,2854,229,813,13,998,13,14,1.0075,-0.0442,0.0347,-0.0048,0.07,0.048,9.76
1880,firm_eo,2215,2875,245,783,14,962,3,18,1.0014,-0.0162,-0.0306,0.0052,-0.021,-0.049,9.822
1900,firm_eo,2203,2864,235,800,11,994,24,7,1.012,0.0056,-0.0073,-0.0334,0.048,0.032,9.804
1920,firm_eo,2244,2866,250,798,14,983,9,14,1.0006,-0.0135,-0.0349,0.0219,0.028,0.042,9.795
1940,firm_eo,2195,2873,249,829,12,1025,16,17,1.0059,0.0038,0.0116,0.005,0.01,-0.011,9.82
1960,firm_eo,2202,2829,234,808,11,974,13,12,0.997,-0.015,0.0171,-0.0314,0.024,-0.097,9.808
1980,firm_eo,2181,2878,239,792,16,984,12,12,0.9919,-0.0039,-0.0077,0.0007,-0.032,-0.055,9.829
2000,firm_eo,2202,2865,248,779,14,984,17,14,1.0107,-0.0064,0.0063,0.0421,-0.005,-0.068,9.792
2020,firm_eo,2250,2851,233,802,12,961,16,10,0.9976,-0.0106,0.0173,-0.0017,-0.055,-0.063,9.865
2040,firm_eo,2256,2832,235,829,16,949,24,15,0.9858,-0.0207,0.0238,0.0048,-0.02,0.004,9.83
2060,firm_eo,2243,2854,239,809,12,958,13,13,1.0023,0.0017,-0.0133,-0.0087,-0.118,0.022,9.813
2080,firm_eo,2248,2828,253,813,15,921,16,14,1.0097,-0.0108,-0.0223,-0.0081,-0.016,0.008,9.81
2100,firm_eo,2244,2809,239,816,10,987,17,9,1.0072,0.0053,0.008,-0.003,-0.073,0.031,9.782
2120,firm_eo,2306,2807,235,818,20,937,14,16,0.9938,-0.0043,0.0264,0.0113,-0.081,0.046,9.804
2140,firm_eo,2334,2819,234,861,16,951,14,9,0.992,-0.0009,-0.0172,0.0244,-0.133,-0.002,9.782
2160,firm_eo,2357,2765,234,847,15,944,11,13,0.995,-0.0205,0.0046,-0.0186,-0.113,0.039,9.815
2180,firm_eo,2369,2748,242,874,29,946,9,17,1.0076,-0.0309,0.0141,-0.0232,-0.131,-0.015,9.789
2200,firm_eo,2412,2792,249,902,12,903,9,19,1.0047,-0.0041,0.0065,-0.0075,-0.199,0.004,9.812
2220,firm_eo,2396,2755,240,890,13,917,12,12,0.9942,0.015,0.0055,-0.0116,-0.143,0.028,9.782
2240,firm_eo,2433,2752,258,920,17,904,11,16,0.9943,-0.0372,-0.0018,-0.0095,-0.125,0.003,9.781
2260,firm_eo,2498,2706,241,920,11,882,4,25,1.0101,-0.0533,-0.0241,-0.0215,-0.138,-0.009,9.75
2280,firm_eo,2507,2699,247,947,28,875,7,18,1.0109,-0.01,-0.0062,-0.0224,-0.137,-0.005,9.836
2300,firm_eo,2553,2666,234,937,12,864,5,15,0.9932,0.0056,0.0065,-0.0336,-0.194,0.018,9.795
2320,firm_eo,2507,2659,253,975,7,838,15,9,0.9931,-0.0346,0.0016,0.0013,-0.251,-0.046,9.742
2340,firm_eo,2601,2639,239,997,11,836,13,17,1.002,-0.0232,-0.0041,-0.0469,-0.088,-0.006,9.799
2360,firm_eo,2586,2581,248,1012,6,824,17,9,0.9964,0.0026,0.0261,-0.0132,-0.077,-0.009,9.872
2380,firm_eo,2617,2583,238,1003,12,821,15,19,0.999,0.0006,0.0014,-0.0265,-0.142,-0.007,9.807
2400,firm_eo,2599,2512,244,1025,15,789,9,21,0.9919,-0.0163,-0.0171,0.0088,-0.148,0.034,9.844
2420,firm_eo,2649,2520,234,1046,12,819,8,7,1.0063,-0.018,-0.0128,0.0136,-0.089,0.06,9.747
2440,firm_eo,2690,2488,224,1040,11,814,13,15,0.9848,0.0123,-0.0342,-0.0306,-0.197,-0.002,9.805
2460,firm_eo,2702,2498,236,1073,21,778,23,11,0.9968,-0.0175,-0.0048,-0.0193,-0.176,0.027,9.825
2480,firm_eo,2707,2458,240,1099,12,774,13,10,1.0038,-0.0029,-0.0227,0.0256,-0.07,0.052,9.816
2500,firm_eo,2742,2409,247,1092,21,800,9,24,0.9902,0.0122,0.0111,-0.01,-0.108,0.013,9.826
2520,firm_eo,2773,2406,229,1123,19,770,13,20,1.0075,-0.0149,-0.0171,-0.0308,-0.052,-0.002,9.789
2540,firm_eo,2752,2414,238,1131,13,766,20,9,0.9857,-0.0033,-0.0175,-0.0225,-0.134,0.042,9.83
2560,firm_eo,2810,2335,242,1158,11,735,16,18,1.0078,0.0223,-0.0308,0.0126,-0.137,-0.0,9.782
2580,firm_eo,2787,2343,245,1172,15,742,10,15,1.0084,-0.001,-0.0348,-0.0248,-0.154,-0.009,9.827
2600,firm_eo,2780,2358,240,1157,8,745,8,18,0.9965,-0.0043,0.0105,0.009,0.02,-0.02,9.802
2620,firm_eo,2815,2346,239,1167,13,750,11,21,0.9858,0.0217,-0.008,0.0343,-0.089,0.075,9.863
2640,firm_eo,2805,2305,242,1163,8,711,0,18,0.9953,-0.0611,0.0026,-0.0474,-0.123,0.039,9.808
2660,firm_eo,2795,2348,243,1177,20,741,15,14,0.9994,-0.0136,0.0,-0.0351,-0.062,-0.022,9.854
2680,firm_eo,2824,2308,240,1188,6,723,14,11,0.9992,-0.0179,-0.0134,-0.013,-0.105,-0.034,9.802
2700,firm_eo,2845,2269,242,1173,3,722,0,16,0.9954,-0.0198,0.0158,-0.0099,-0.058,0.035,9.831
2720,firm_eo,2819,2317,237,1174,10,727,8,14,1.0025,0.0058,-0.028,-0.0015,0.002,0.082,9.805
2740,firm_eo,2822,2280,245,1208,3,714,12,18,1.0111,0.0071,0.0142,0.0054,0.014,0.02,9.812
2760,firm_eo,2833,2297,234,1167,17,708,25,6,1.0117,-0.0005,-0.0261,-0.0343,-0.022,-0.013,9.812
2780,firm_eo,2845,2297,249,1215,13,708,12,4,0.9986,-0.0119,0.0157,-0.0243,0.054,-0.029,9.783
2800,firm_eo,2808,2270,251,1186,11,730,13,19,1.004,0.0042,0.0065,0.0016,0.044,-0.004,9.841
2820,firm_eo,2859,2275,226,1207,17,737,11,10,0.9944,-0.0146,-0.0049,-0.0229,0.003,-0.073,9.832
2840,firm_eo,2812,2221,244,1172,16,720,12,9,0.9845,-0.0352,0.0057,0.0195,-0.04,-0.039,9.817
2860,firm_eo,2838,2305,240,1142,12,706,15,14,0.9976,-0.0033,-0.0324,-0.0157,0.037,-0.064,9.842
2880,firm_eo,2822,2290,247,1168,25,714,8,14,1.0068,0.033,0.0169,-0.0003,0.021,-0.018,9.829
2900,firm_eo,2818,2329,246,1161,22,707,12,15,0.989,-0.0314,-0.0197,0.0114,0.015,-0.01,9.797
2920,firm_eo,2836,2307,237,1170,17,711,13,17,1.0177,-0.0046,0.0083,-0.0028,-0.014,-0.022,9.793
2940,firm_eo,2851,2304,244,1170,20,699,18,6,1.0049,0.0003,0.004,-0.0211,0.015,0.043,9.79
2960,firm_eo,2803,2333,239,1161,14,716,13,11,0.9807,-0.0294,0.0053,0.0282,0.036,-0.035,9.877
2980,firm_eo,2831,2312,246,1139,11,697,15,11,0.9928,0.003,0.0296,-0.0162,-0.001,-0.104,9.787
3000,firm_eo,2804,2327,235,1118,16,701,10,4,1.0076,0.0188,0.0007,-0.0184,-0.005,0.005,9.764
3020,firm_eo,2809,2335,240,1149,15,696,10,21,0.9863,-0.0108,0.0552,-0.0065,-0.007,0.025,9.852
3040,firm_eo,2798,2310,241,1118,25,693,15,8,0.9967,-0.0032,0.0253,0.0089,0.006,-0.041,9.792
3060,firm_eo,2805,2311,236,1131,6,724,14,20,0.9972,-0.0247,-0.0094,-0.0012,0.001,0.014,9.781
3080,firm_eo,2811,2359,239,1127,22,670,15,15,1.0145,0.0099,0.0119,-0.0149,-0.005,-0.029,9.797
3100,firm_eo,2827,2353,241,1138,12,711,13,18,1.0054,0.0099,-0.0229,-0.0093,0.006,-0.05,9.798
3120,firm_eo,2842,2332,238,1140,12,687,12,13,0.9869,0.0218,-0.0044,-0.0096,0.019,-0.017,9.798
3140,firm_eo,2831,2338,240,1081,12,693,19,18,1.0051,0.0062,-0.0122,0.0322,-0.022,-0.009,9.822
3160,firm_eo,2812,2339,237,1144,15,702,19,22,1.0182,0.001,-0.0224,-0.0035,-0.042,0.008,9.832
3180,firm_eo,2825,2335,229,1144,24,691,1,14,0.9976,-0.0053,0.002,0.0098,0.046,-0.029,9.872
3200,firm_eo,2835,2307,230,1125,19,684,8,11,1.002,-0.0211,-0.0306,0.0152,0.005,-0.007,9.792
3220,firm_eo,2857,2303,238,1092,10,684,10,17,1.0127,-0.0169,0.0059,0.0087,-0.064,-0.007,9.762
3240,firm_eo,2847,2305,251,1105,11,682,21,11,1.004,0.006,-0.0217,-0.0092,-0.043,-0.111,9.814
3260,firm_eo,2848,2283,230,1111,13,657,17,13,0.9826,0.013,-0.0434,-0.0202,-0.052,-0.073,9.831
3280,firm_eo,2858,2277,243,1107,13,663,11,10,1.0024,-0.0226,0.002,0.0243,-0.055,-0.039,9.851
3300,firm_eo,2867,2244,251,1124,10,657,22,20,1.016,0.0417,-0.012,-0.0135,-0.076,-0.027,9.824
3320,firm_eo,2836,2243,236,1138,6,649,13,14,1.0093,0.0166,-0.0043,0.0103,-0.059,0.041,9.835
3340,firm_eo,2888,2244,239,1118,11,643,10,13,1.0065,0.0121,0.0064,-0.0252,-0.054,0.036,9.83
3360,firm_eo,2877,2266,240,1119,17,624,14,13,1.0105,-0.002,-0.0016,-0.0224,-0.041,-0.014,9.816
3380,firm_eo,2899,2244,246,1144,6,633,11,9,1.0139,0.012,-0.0323,0.0035,-0.02,0.059,9.854
3400,firm_eo,2880,2247,243,1153,13,632,5,16,1.0042,-0.0068,-0.0181,-0.0255,0.065,-0.008,9.843
3420,firm_eo,2906,2217,236,1160,22,629,2,19,1.0019,0.0282,0.0244,0.0269,-0.027,0.036,9.846
3440,firm_eo,2892,2211,240,1164,18,623,22,10,0.9851,-0.0024,0.0599,-0.0061,-0.043,0.01,9.847
3460,firm_eo,2899,2176,235,1133,12,619,8,10,1.0071,-0.0482,0.0407,0.012,-0.009,0.028,9.754
3480,firm_eo,2897,2165,233,1144,8,611,17,10,0.9892,0.0042,0.0039,0.0196,-0.019,0.02,9.814
3500,firm_eo,2914,2179,239,1188,14,580,13,23,0.9855,-0.0109,0.0308,-0.0022,-0.149,0.009,9.838
3520,firm_eo,2957,2125,233,1195,0,615,14,16,0.9905,0.0143,-0.0059,0.0093,-0.147,0.061,9.774
3540,firm_eo,2923,2079,250,1213,18,591,26,9,0.9912,0.0089,0.0143,0.0232,-0.057,0.042,9.849
3560,firm_eo,2926,2080,239,1181,18,592,16,9,0.9786,0.0206,0.0076,-0.0266,-0.011,0.047,9.81
3580,firm_eo,2937,2075,246,1181,13,598,10,12,0.999,0.0197,-0.0149,0.0286,-0.024,0.034,9.79
3600,firm_eo,2952,2086,237,1224,17,592,15,14,1.0226,0.0114,-0.04,-0.0132,-0.011,0.066,9.848
3620,firm_eo,2942,2050,253,1222,11,609,13,19,0.9974,0.0038,0.0176,0.0057,-0.11,-0.028,9.737
3640,firm_eo,2937,2008,236,1241,6,596,22,3,0.9906,0.0111,-0.0065,0.0223,-0.04,0.036,9.84
3660,firm_eo,2958,2072,250,1217,14,608,13,12,0.9889,0.0108,-0.0508,0.0134,0.01,0.019,9.799
3680,firm_eo,2942,2016,235,1237,15,609,24,9,1.0205,-0.0233,0.0088,-0.033,-0.02,0.06,9.818
3700,firm_eo,2933,2048,248,1255,16,617,8,8,1.0078,-0.0007,0.0023,-0.0016,0.03,0.077,9.835
3720,firm_eo,2956,2049,244,1262,20,610,10,24,0.9962,0.0002,-0.0105,0.0205,0.052,0.085,9.81
3740,firm_eo,2940,2036,253,1251,20,615,15,21,1.0052,0.0222,-0.0011,-0.0026,0.028,0.044,9.818
3760,firm_eo,2929,2069,245,1266,20,630,17,6,0.995,0.0178,-0.0042,0.0005,0.001,-0.002,9.829
3780,firm_eo,2941,2076,246,1252,10,638,12,13,0.9938,-0.0079,0.0184,-0.0179,0.04,-0.006,9.769
3800,firm_eo,2921,2081,234,1261,16,647,8,18,0.9929,-0.0208,-0.0356,0.0055,0.11,0.089,9.803
3820,firm_eo,2912,2095,243,1273,27,642,12,17,0.9916,-0.0197,0.0094,-0.0108,0.015,0.069,9.778
3840,firm_eo,2914,2120,240,1255,12,672,19,27,1.0285,0.0198,0.0082,0.008,0.014,0.07,9.788
3860,firm_eo,2915,2115,246,1270,5,672,17,17,0.9912,-0.017,0.0167,0.0169,0.092,0.098,9.816
3880,firm_eo,2876,2153,236,1307,16,682,3,14,0.9974,0.0153,0.0302,0.0367,0.097,0.04,9.784
3900,firm_eo,2833,2144,243,1287,23,716,11,19,1.0218,-0.0157,-0.0227,-0.0146,0.069,0.053,9.749
3920,firm_eo,2881,2140,237,1277,7,702,14,6,1.0015,-0.014,-0.0234,0.019,0.092,0.065,9.843
3940,firm_eo,2876,2223,242,1268,18,727,13,19,0.9674,-0.0206,0.0135,-0.0357,0.126,0.083,9.815
3960,firm_eo,2861,2243,240,1244,6,749,15,14,1.0014,-0.0261,-0.0509,0.016,0.05,0.034,9.796
3980,firm_eo,2843,2206,242,1275,13,760,21,7,1.004,-0.0214,-0.0031,0.009,0.07,0.1,9.818
4000,firm_eo,2790,2232,241,1313,17,789,14,10,1.0064,-0.0222,0.0116,-0.003,0.084,0.011,9.755
4020,firm_eo,2787,2292,238,1268,16,791,16,12,1.0191,0.009,-0.0275,0.0074,0.111,0.042,9.846
4040,firm_eo,2763,2277,237,1295,14,814,14,16,1.0119,0.0072,-0.0016,-0.0071,0.07,0.053,9.867
4060,firm_eo,2797,2318,234,1254,5,821,10,10,1.0162,0.0234,0.0055,-0.0134,0.091,0.108,9.824
4080,firm_eo,2748,2315,245,1308,13,849,6,21,0.9962,0.0077,-0.0289,-0.0066,0.073,0.069,9.857
4100,firm_eo,2724,2325,246,1301,13,874,10,7,0.997,0.0086,0.0109,-0.0291,0.137,0.097,9.849
4120,firm_eo,2729,2354,250,1273,13,862,9,16,0.9858,-0.0007,-0.0268,-0.0095,0.046,0.007,9.81
4140,firm_eo,2703,2306,236,1251,16,851,12,12,1.0026,0.0113,-0.0082,0.0041,-0.008,-0.014,9.829
4160,firm_eo,2735,2348,236,1300,18,865,12,11,1.0093,0.0196,-0.0171,-0.0187,0.034,0.025,9.817
4180,firm_eo,2737,2332,242,1267,29,895,24,18,0.9876,-0.0013,0.0167,0.003,0.049,0.07,9.801
4200,firm_eo,2699,2332,238,1300,6,867,20,13,0.9948,-0.0255,-0.0318,-0.0339,0.022,0.033,9.796
4220,firm_eo,2727,2351,255,1306,20,900,15,13,1.0021,-0.0189,0.046,0.0253,-0.051,0.013,9.812
4240,firm_eo,2692,2330,242,1332,10,881,22,23,1.018,-0.0047,0.0147,0.0441,0.004,0.014,9.825
4260,firm_eo,2669,2342,237,1255,18,875,14,16,0.9937,0.0272,-0.0132,0.0141,-0.008,-0.065,9.798
4280,firm_eo,2720,2311,245,1322,13,895,20,16,0.9923,0.0127,0.0218,-0.0192,-0.046,0.025,9.823
4300,firm_eo,2720,2328,245,1338,19,875,7,12,1.0098,-0.0084,-0.0073,-0.001,-0.044,-0.072,9.805
4320,firm_eo,2747,2257,242,1324,7,858,16,9,0.9929,-0.0083,0.0084,-0.0103,-0.055,0.014,9.846
4340,firm_eo,2728,2281,242,1361,15,866,20,21,0.9992,0.0004,-0.0315,-0.0114,-0.093,-0.037,9.8
4360,firm_eo,2735,2291,244,1333,19,868,16,12,1.0029,-0.0026,0.0297,-0.0104,-0.084,0.044,9.839
4380,firm_eo,2780,2281,231,1334,12,900,27,9,1.0,-0.0279,0.007,0.0116,-0.002,0.001,9.822
4400,firm_eo,2714,2256,230,1337,12,842,11,21,0.9901,0.0332,-0.0113,0.0023,-0.095,-0.013,9.834
4420,firm_eo,2779,2252,244,1339,13,851,16,9,1.0083,-0.0101,0.0315,-0.0376,-0.102,0.062,9.808
4440,firm_eo,2796,2222,245,1354,9,863,15,15,0.9971,0.0273,-0.0329,0.0124,-0.073,0.034,9.794
4460,firm_eo,2778,2216,244,1349,13,841,18,10,1.0161,-0.0161,-0.0149,0.0316,-0.026,-0.011,9.808
4480,firm_eo,2804,2257,241,1348,10,846,7,8,1.0032,-0.0194,0.0011,-0.014,-0.078,-0.019,9.859
