t_ms,mode,fsr0,fsr1,fsr2,fsr3,fsr4,fsr5,fsr6,fsr7,qw,qx,qy,qz,ax,ay,az
800,barefoot,10,15,5,18,6,10,4,13,1.009,-0.0063,0.002,-0.0011,0.244,0.007,9.22
820,barefoot,21,14,7,9,13,17,8,12,1.0052,0.0246,0.0304,0.0014,-1.157,-1.451,9.554
840,barefoot,9,11,15,14,20,14,15,14,1.0224,-0.0027,0.0123,0.0002,-0.719,0.167,11.448
860,barefoot,19,17,9,24,17,16,5,19,1.0113,-0.004,-0.0051,0.017,-1.047,-0.144,9.975
880,barefoot,10,15,17,11,15,12,4,12,1.0062,-0.009,-0.0167,0.0012,0.396,-1.317,10.337
900,barefoot,13,11,14,18,10,17,13,13,0.9994,-0.0093,0.0274,-0.0423,0.087,0.29,9.907
920,barefoot,14,12,14,6,12,21,26,20,0.9938,0.0171,-0.0056,0.0267,0.419,0.121,9.978
940,barefoot,21,0,24,16,20,24,10,14,1.0036,-0.0305,0.001,0.0168,0.339,-0.863,9.753
960,barefoot,12,13,12,10,12,12,12,10,1.0026,-0.0108,-0.0085,0.0163,0.826,0.859,8.325
980,barefoot,18,13,20,12,8,16,13,8,1.0009,0.0453,0.0351,0.0187,-1.51,-0.183,10.841
1000,barefoot,11,5,18,10,17,12,13,4,1.0027,-0.0217,0.0108,-0.0144,-0.523,0.023,10.444
1020,barefoot,21,11,18,8,8,16,7,25,0.9828,0.0277,-0.0277,-0.0243,0.07,0.905,10.379
1040,barefoot,10,20,9,21,7,9,13,20,1.0086,-0.012,-0.0076,-0.0078,2.296,-1.096,10.338
1060,barefoot,20,11,11,13,13,18,21,9,1.0098,-0.0224,-0.0208,-0.0184,-1.814,0.07,10.822
1080,barefoot,20,20,12,18,12,23,15,12,0.9972,0.0531,-0.0021,0.044,-0.086,0.578,9.488
1100,barefoot,2888,1933,21,21,21,12,12,14,0.9848,-0.029,-0.0017,-0.0061,-2.031,-1.131,10.534
1120,barefoot,3225,2273,40,20,12,18,18,18,0.9983,-0.0249,0.011,0.0262,1.5,1.317,12.193
1140,barefoot,3300,2727,86,21,3,17,14,12,1.0119,0.046,-0.0111,-0.0034,-0.462,0.525,11.257
1160,barefoot,3501,2995,154,15,18,16,21,17,0.9819,-0.0029,-0.0147,0.0088,0.113,-0.696,10.174
1180,barefoot,3475,3099,260,19,17,17,9,15,1.0072,0.0335,-0.0093,-0.0111,0.23,1.193,8.501
1200,barefoot,3482,3133,466,8,9,13,22,19,0.9924,-0.0175,0.0035,0.006,0.149,-0.244,7.622
1220,barefoot,3389,3058,696,17,7,16,8,13,1.001,0.0686,-0.0355,0.0154,0.898,-0.478,9.448
1240,barefoot,3170,2951,939,26,26,18,15,4,1.0092,-0.0024,0.0247,-0.0042,1.244,-0.796,10.418
1260,barefoot,2905,2745,1255,16,21,13,6,13,0.9872,0.0168,0.0065,-0.0125,1.322,0.474,9.528
1280,barefoot,2455,2386,1539,25,25,21,22,16,1.0037,0.0053,-0.0325,0.0087,-1.604,-0.113,10.244
1300,barefoot,1771,1986,1716,25,53,21,16,10,0.995,0.0164,-0.0166,-0.0345,-1.487,0.193,10.407
1320,barefoot,1033,1451,1862,64,101,25,12,15,1.0007,0.0185,0.0263,0.0002,0.139,0.231,10.752
1340,barefoot,547,974,1896,138,207,45,15,17,1.0152,-0.0102,0.0406,-0.0066,0.213,-0.208,11.113
1360,barefoot,223,523,1959,289,369,90,11,4,0.9859,-0.0237,-0.0044,-0.0128,0.823,-0.02,10.268
1380,barefoot,90,256,1915,636,693,169,19,17,0.9931,0.0069,0.0032,-0.0058,-1.191,-0.191,9.584
1400,barefoot,35,126,1893,978,1105,322,15,20,1.0158,0.0256,0.0112,0.0414,-0.142,0.47,9.687
1420,barefoot,14,55,1743,1449,1376,549,17,26,0.9885,0.031,-0.0126,0.0072,-0.667,0.288,9.192
1440,barefoot,20,27,1529,1865,1861,809,23,27,0.9924,0.0195,0.0051,-0.0024,0.527,-0.791,12.501
1460,barefoot,15,20,1200,2226,2068,1116,63,11,0.9991,0.0261,-0.0025,-0.029,-0.538,-0.427,10.788
1480,barefoot,14,18,911,2383,2310,1491,110,23,1.0084,-0.0034,-0.0137,0.0093,2.273,-0.822,10.63
1500,barefoot,5,3,674,2674,2433,1636,213,52,1.0115,-0.0003,0.0253,0.0033,0.249,0.116,8.708
1520,barefoot,11,16,418,2599,2341,1833,472,115,0.9956,0.0187,-0.0027,-0.0024,-0.296,1.086,8.813
1540,barefoot,10,12,256,2569,2271,1812,800,214,0.9958,-0.027,0.0378,-0.0382,0.303,-0.032,10.134
1560,barefoot,20,20,133,2427,2188,1669,1215,393,1.0105,0.017,-0.0188,-0.0094,1.695,1.247,10.51
1580,barefoot,21,24,77,2268,1887,1546,1678,685,0.9841,-0.0306,-0.0299,-0.0222,-0.503,-1.301,10.533
1600,barefoot,19,14,49,1960,1315,1438,1973,992,0.975,0.0112,-0.0224,0.0412,-1.344,0.124,11.274
1620,barefoot,22,13,26,1543,1058,1044,2166,1300,0.9925,-0.0031,0.0387,-0.023,0.481,0.854,10.467
1640,barefoot,20,16,26,1136,649,755,2182,1574,1.003,-0.0772,-0.0168,-0.0119,0.378,-0.811,9.743
1660,barefoot,12,11,23,663,369,425,2268,1605,1.0054,-0.02,0.039,0.0103,-0.348,-0.196,9.838
1680,barefoot,15,20,19,386,178,254,1929,1557,1.0088,-0.022,-0.03,-0.0002,0.745,-0.117,10.649
1700,barefoot,6,17,21,203,99,128,1841,1513,0.9823,0.0212,0.0356,-0.0,1.218,-0.219,11.037
1720,barefoot,17,13,10,98,51,67,1444,1317,1.0008,-0.0032,-0.0034,-0.0039,0.209,-0.502,11.17
1740,barefoot,17,8,9,53,29,35,1014,1049,0.9998,0.0351,-0.0095,0.0085,3.0,2.998,10.546
1760,barefoot,8,20,14,32,16,16,606,806,1.0005,0.0218,0.0424,-0.0302,-0.484,-1.229,11.891
1780,barefoot,18,16,15,14,14,25,319,508,1.0017,0.0013,0.0036,-0.0053,-0.214,0.223,9.505
1800,barefoot,13,20,4,6,17,9,9,17,1.0083,-0.0057,-0.0208,0.0026,-1.815,-0.669,10.276
1820,barefoot,4,5,9,16,10,1,17,7,0.9944,-0.0081,-0.026,0.0023,1.986,0.141,9.261
1840,barefoot,13,18,12,16,21,13,8,10,0.9874,-0.0065,-0.0114,-0.0104,1.203,0.011,9.716
1860,barefoot,18,13,12,20,17,12,17,23,0.9945,-0.0168,-0.0,-0.0005,1.064,0.208,11.549
1880,barefoot,11,11,24,19,17,14,11,10,1.0087,-0.0091,-0.0251,0.0294,-1.0,-0.315,8.842
1900,barefoot,14,16,21,13,9,10,14,13,0.9987,0.0129,-0.0076,-0.003,2.518,0.041,9.832
1920,barefoot,16,23,10,12,5,15,16,17,1.0123,0.0266,-0.0016,0.0306,2.901,-0.327,9.765
1940,barefoot,12,12,11,14,19,10,9,13,0.9933,0.0359,-0.0262,-0.0385,0.021,-0.029,10.099
1960,barefoot,11,14,13,3,14,3,14,15,0.9846,-0.0067,0.0543,0.0284,-2.078,-0.277,10.496
1980,barefoot,6,7,14,16,8,7,21,22,0.9811,0.0208,-0.0017,-0.041,0.645,-0.029,9.198
2000,barefoot,15,16,4,9,17,9,8,15,1.0218,-0.0049,-0.0688,0.0062,-1.163,1.038,9.425
2020,barefoot,14,10,10,11,19,11,18,8,0.9872,-0.0254,0.0193,-0.0398,-0.279,0.722,9.312
2040,barefoot,23,15,10,21,17,9,10,14,0.9951,-0.0578,0.0102,0.004,1.626,-1.674,8.949
2060,barefoot,17,19,4,16,12,19,17,23,1.0207,-0.0305,0.0165,0.0166,-0.406,-0.306,9.788
2080,barefoot,13,18,21,10,7,12,14,25,1.0104,0.0139,0.0172,0.0122,0.948,-1.257,9.347
2100,barefoot,7,18,16,17,17,8,15,22,0.9989,0.0288,-0.0124,0.0151,0.631,1.149,9.424
2120,barefoot,4,27,15,7,25,18,27,21,1.0176,0.0553,-0.0029,-0.0367,0.981,-0.373,8.954
2140,barefoot,11,11,24,13,18,18,21,18,0.9751,0.0375,0.0042,-0.0114,0.939,1.652,8.654
2160,barefoot,12,9,25,5,19,16,16,16,1.0002,-0.0189,0.0093,-0.0144,0.149,-0.071,8.797
2180,barefoot,16,19,9,9,12,23,9,7,1.0107,-0.0122,-0.0113,-0.0019,-0.198,-0.712,8.794
2200,barefoot,2817,1854,33,11,13,12,19,16,1.015,0.0344,0.004,-0.0334,-0.089,0.79,8.991
2220,barefoot,3181,2486,44,10,7,11,15,14,1.009,-0.0029,-0.0468,-0.0046,-2.022,-2.157,8.584
2240,barefoot,3326,2633,86,15,23,18,9,16,0.977,-0.0376,0.0027,-0.0171,1.124,0.892,8.845
2260,barefoot,3453,2964,149,5,21,12,10,14,0.9953,-0.0203,0.0196,0.0128,-0.848,0.747,11.392
2280,barefoot,3525,3021,268,6,16,10,19,15,0.9999,0.0229,0.0133,0.0448,-0.618,-0.072,8.743
2300,barefoot,3469,3117,477,10,9,8,8,17,1.0065,-0.0136,0.0316,0.0114,-1.587,-1.175,10.374
2320,barefoot,3396,3034,679,12,14,20,16,26,0.9823,-0.0076,-0.0144,0.039,-0.174,-0.991,12.441
2340,barefoot,3267,2925,900,21,15,14,14,11,1.0137,0.0136,0.0074,-0.0348,-1.011,-0.157,10.999
2360,barefoot,2952,2762,1212,17,21,16,14,15,1.0091,-0.0241,0.0273,0.0232,0.524,-1.713,10.423
2380,barefoot,2415,2362,1465,9,24,22,15,23,1.0011,-0.0218,-0.005,-0.0191,-0.805,-0.099,9.615
2400,barefoot,1754,2041,1704,29,47,23,13,8,1.0026,0.0331,-0.0012,-0.0114,0.64,0.497,11.816
2420,barefoot,1079,1482,1909,69,99,26,20,16,1.0028,0.0574,0.0009,-0.0035,-0.205,-1.017,9.822
2440,barefoot,587,999,2003,160,206,35,8,15,1.0049,-0.0039,0.0333,-0.0035,0.323,-0.979,9.993
2460,barefoot,247,570,2018,333,416,83,15,16,1.0103,0.0056,-0.0005,-0.0012,-1.444,1.051,8.376
2480,barefoot,99,268,1945,570,722,183,18,17,0.9913,-0.0072,-0.016,-0.0137,0.225,-0.151,10.111
2500,barefoot,45,135,1838,932,1104,339,13,18,0.9922,0.0054,0.0384,-0.001,-1.617,-0.351,10.34
2520,barefoot,29,51,1777,1447,1498,551,9,15,0.9889,0.0021,-0.0252,0.0225,0.06,0.195,8.314
2540,barefoot,16,25,1537,1876,1831,752,32,9,0.9897,-0.0218,-0.0524,-0.027,-2.131,-1.27,10.108
2560,barefoot,23,14,1252,2314,2183,1194,52,21,0.9928,0.0294,-0.0128,0.0028,-0.019,-0.067,10.294
2580,barefoot,13,19,932,2307,2342,1483,97,29,0.9939,-0.0083,0.0053,-0.0017,0.001,0.293,10.183
2600,barefoot,14,12,656,2655,2414,1616,228,63,0.9984,0.0095,-0.017,0.0005,0.906,1.174,8.741
2620,barefoot,17,17,398,2648,2392,1855,451,125,1.0093,-0.0155,-0.0055,0.0275,0.178,0.416,9.506
2640,barefoot,13,13,230,2621,2267,1811,803,237,1.0199,0.0327,0.0147,0.0226,0.788,-1.299,11.044
2660,barefoot,9,10,154,2506,2098,1702,1267,403,1.0004,-0.0098,0.0109,-0.0072,0.746,0.818,10.48
2680,barefoot,12,7,81,2358,1743,1618,1597,630,1.0041,0.0039,-0.0201,-0.0181,-1.009,-0.738,8.688
2700,barefoot,28,8,44,1989,1499,1259,1829,989,0.99,-0.0082,0.0547,0.0216,-0.521,-0.174,10.115
2720,barefoot,17,0,32,1578,949,1037,2093,1262,1.0033,0.0298,0.0111,0.0264,-3.068,0.75,8.21
2740,barefoot,17,11,9,1086,620,777,2285,1516,0.9853,0.023,-0.0019,-0.0121,0.909,0.63,10.384
2760,barefoot,9,17,9,681,384,499,2122,1524,0.9973,-0.0092,0.0205,0.0214,1.804,-0.546,11.018
2780,barefoot,12,18,17,372,191,236,2084,1661,1.0043,-0.0482,-0.0474,-0.0396,-1.63,-1.231,11.926
2800,barefoot,13,19,10,200,85,115,1898,1539,0.9928,-0.0407,-0.0268,-0.0085,-0.129,0.857,9.427
2820,barefoot,15,9,13,88,41,69,1424,1305,0.9976,-0.0147,-0.0119,-0.009,-0.045,0.06,9.825
2840,barefoot,17,6,15,39,20,29,1086,1123,0.9883,-0.0182,0.0213,-0.0357,-1.034,0.218,9.744
2860,barefoot,7,15,29,19,18,28,638,784,1.0037,0.0346,-0.0126,0.0029,-0.826,0.388,9.067
2880,barefoot,15,12,12,23,12,16,342,501,1.0181,0.059,-0.0245,0.0325,1.144,0.032,9.032
2900,barefoot,20,17,12,14,15,23,12,19,1.0182,0.0233,-0.0039,-0.0295,-0.492,1.429,10.318
2920,barefoot,20,14,10,11,19,9,6,22,1.0194,0.0188,-0.0152,0.0065,0.411,0.03,9.317
2940,barefoot,0,16,19,12,10,19,12,24,1.0005,0.0107,-0.0685,0.0227,-0.779,0.913,9.756
2960,barefoot,20,9,11,8,11,14,9,10,0.9983,0.0021,-0.0041,-0.0236,-0.915,0.613,9.37
2980,barefoot,12,16,12,20,14,9,20,16,0.9889,0.0179,0.0176,0.014,1.486,-0.598,9.317
3000,barefoot,10,9,13,5,15,14,11,12,1.0017,0.0119,0.0135,0.0055,-1.277,0.227,8.915
3020,barefoot,21,23,13,19,13,6,9,14,1.0031,-0.0047,-0.0233,-0.0129,0.047,-0.196,9.444
3040,barefoot,22,13,15,13,10,14,9,13,1.0244,0.0126,0.0281,-0.0115,0.35,-0.107,10.724
3060,barefoot,12,13,18,13,13,19,18,14,1.0115,0.0047,-0.014,-0.0445,-0.077,0.488,11.069
3080,barefoot,14,9,20,25,13,16,14,10,0.9888,-0.004,-0.0098,0.0014,3.128,-0.014,11.636
3100,barefoot,11,9,9,15,11,19,17,19,1.0003,-0.004,-0.0143,-0.0178,-0.883,-0.736,8.392
3120,barefoot,11,15,14,21,13,21,10,9,0.9964,-0.0033,0.0032,-0.0342,0.199,1.101,8.722
3140,barefoot,12,21,14,7,10,11,17,5,1.0029,-0.0033,-0.0083,-0.0,-1.292,-0.217,10.598
3160,barefoot,5,15,11,7,14,16,5,12,1.0143,-0.0047,-0.0044,0.0097,0.176,1.251,10.383
3180,barefoot,13,13,6,17,9,16,27,17,1.005,0.0323,0.0199,0.0275,-2.77,0.275,9.225
3200,barefoot,21,10,8,23,15,14,8,15,1.0033,0.0369,0.0368,-0.0026,-1.274,0.708,10.445
3220,barefoot,10,13,25,11,22,3,12,8,0.9856,-0.0117,-0.0157,-0.002,-1.508,0.006,9.899
3240,barefoot,11,23,17,18,6,14,13,8,0.9798,0.0023,-0.0055,0.0299,0.693,-1.061,8.489
3260,barefoot,13,10,13,16,15,13,19,15,1.0064,-0.0261,0.0159,-0.01,-0.659,-0.056,10.276
3280,barefoot,13,14,12,20,7,13,11,21,1.0071,-0.0109,-0.0102,0.0142,1.369,-0.054,10.065
3300,barefoot,13,13,3,20,14,13,2,14,0.9923,0.0332,-0.0315,-0.0049,-3.515,-0.235,9.886
3320,barefoot,3153,2431,46,11,10,20,14,14,0.9996,-0.0147,0.0284,-0.0,0.051,-1.537,10.12
3340,barefoot,3394,2626,87,10,11,22,16,17,1.0049,-0.0151,0.0009,-0.0049,-1.232,0.241,8.346
3360,barefoot,3442,2755,140,4,15,11,4,10,0.997,-0.0144,0.0282,0.0253,-0.432,-0.365,10.634
3380,barefoot,3566,2980,247,10,15,19,8,4,0.9908,-0.0063,-0.022,0.0034,0.86,-0.483,9.897
3400,barefoot,3463,3052,435,18,13,12,16,21,1.0044,0.0107,0.0086,0.0206,0.236,0.603,11.046
3420,barefoot,3418,3029,595,3,14,14,10,10,1.0098,0.002,-0.0195,-0.003,0.434,0.699,10.091
3440,barefoot,3195,2955,977,22,20,14,8,18,0.9863,0.0315,-0.0044,-0.0185,-0.992,-0.704,10.131
3460,barefoot,2871,2765,1147,16,19,11,19,20,1.0034,0.0095,-0.0133,-0.0092,-0.782,-0.678,9.189
3480,barefoot,2443,2467,1516,15,27,18,11,14,1.0243,0.0031,0.0336,0.0026,0.455,0.439,8.743
3500,barefoot,1784,2086,1728,40,47,23,6,13,0.9973,0.0227,0.0062,-0.0058,-1.182,0.5,10.163
3520,barefoot,1023,1471,1904,75,91,28,16,15,1.0054,0.0075,-0.0216,0.0001,-0.214,0.445,8.994
3540,barefoot,570,957,2007,146,205,42,9,11,0.9999,-0.0189,-0.0149,0.0391,0.505,-0.103,10.198
3560,barefoot,237,539,1995,321,389,91,6,17,1.0083,-0.0087,-0.007,-0.0075,0.359,1.348,9.723
3580,barefoot,84,265,2018,569,650,175,19,18,1.0064,0.0268,0.0094,-0.0162,-0.995,0.076,7.925
3600,barefoot,41,127,1877,1022,1104,361,13,11,1.0013,0.0082,0.0292,0.0238,-0.089,-0.363,10.189
3620,barefoot,21,58,1722,1452,1511,552,23,19,0.9892,0.0046,0.012,-0.0181,-0.656,-0.855,10.638
3640,barefoot,22,28,1501,1805,1775,906,23,19,0.9956,-0.0002,-0.0083,0.0062,-0.955,0.614,9.086
3660,barefoot,17,17,1169,2174,2059,1170,44,14,0.9994,0.0008,0.0261,-0.0093,0.694,-0.352,8.941
3680,barefoot,7,11,922,2512,2392,1412,105,34,1.004,0.0173,-0.0012,0.0306,0.015,0.353,10.039
3700,barefoot,20,14,684,2669,2369,1649,258,57,1.01,-0.0038,-0.0145,0.0001,0.845,0.701,9.376
3720,barefoot,18,6,423,2704,2407,1701,480,111,0.9942,-0.0445,0.0112,-0.0089,2.203,-0.29,9.765
3740,barefoot,5,4,259,2631,2362,1880,840,213,1.0123,-0.0283,-0.009,0.0093,0.004,0.742,8.693
3760,barefoot,11,12,150,2568,2066,1772,1149,423,0.9845,-0.0222,-0.0157,-0.0197,1.755,0.92,9.316
3780,barefoot,13,8,72,2227,1787,1604,1706,720,1.005,0.0214,-0.002,-0.0007,0.164,-0.023,9.469
3800,barefoot,23,12,53,2005,1382,1372,1979,1011,0.9929,0.0167,0.0073,0.007,-0.405,-0.832,9.431
3820,barefoot,14,9,25,1575,1080,1073,2205,1264,1.0093,0.0003,0.0144,0.0478,0.983,-1.192,11.0
3840,barefoot,14,22,19,1079,685,761,2211,1512,1.0103,-0.0142,0.0223,-0.0192,0.077,-0.855,9.116
3860,barefoot,19,8,10,710,385,460,2251,1610,1.013,0.0059,0.026,0.0109,-0.411,-0.821,8.347
3880,barefoot,15,15,28,390,196,274,2017,1616,0.9863,0.0054,0.0101,-0.0002,1.079,-0.383,8.753
3900,barefoot,12,18,10,181,89,153,1780,1548,1.0023,0.0406,0.0315,0.026,-0.507,0.463,8.995
3920,barefoot,16,3,15,91,44,69,1427,1315,0.9787,0.0207,-0.0248,0.0034,0.25,0.216,10.208
3940,barefoot,15,19,12,41,33,28,1115,1117,1.0041,-0.0123,0.0221,-0.013,0.923,-0.304,11.041
3960,barefoot,17,13,14,23,12,29,640,766,0.9972,0.0119,0.0273,0.0061,-0.813,0.767,9.842
3980,barefoot,12,17,14,12,22,14,364,491,0.9976,-0.0162,0.018,-0.0019,-0.213,-0.119,10.778
4000,barefoot,15,19,17,20,17,23,16,13,1.003,-0.0364,0.0266,-0.0387,-0.572,1.55,9.093
4020,barefoot,18,9,11,19,22,18,13,9,0.9947,-0.0065,-0.0103,-0.0311,-1.811,-0.202,10.599
4040,barefoot,9,10,19,10,12,21,3,15,1.0292,-0.0181,0.0194,0.0003,-0.347,0.35,9.748
4060,barefoot,7,20,20,14,15,19,11,16,0.9867,-0.0166,-0.002,0.0157,-1.445,-0.782,9.744
4080,barefoot,22,15,10,15,11,12,14,19,0.9929,-0.0136,-0.032,0.0315,-2.005,0.471,9.345
4100,barefoot,0,10,18,16,13,10,15,20,0.9959,-0.0005,-0.0124,-0.0116,-0.047,0.439,9.648
4120,barefoot,18,20,16,11,14,16,16,8,0.9904,-0.0154,0.0138,0.0142,-0.706,0.335,10.731
4140,barefoot,8,11,5,16,11,19,14,17,0.985,-0.0081,0.0148,0.0087,-0.14,0.448,9.452
4160,barefoot,17,21,18,27,8,3,9,17,0.9983,-0.0152,0.0172,-0.0159,-0.189,1.202,10.198
4180,barefoot,17,21,13,13,16,23,13,18,1.0004,-0.001,0.0188,0.0293,1.002,1.073,9.593
4200,barefoot,9,16,17,16,17,3,12,12,0.998,-0.0439,-0.0077,-0.0218,1.555,-0.24,9.425
4220,barefoot,13,22,13,10,10,11,13,15,1.0086,-0.0027,-0.0168,0.0003,0.849,-0.756,9.81
4240,barefoot,12,15,15,11,0,24,12,21,0.9924,0.0041,0.0005,-0.0039,0.21,-0.268,7.968
4260,barefoot,13,12,18,13,7,16,16,15,1.0028,0.0103,-0.0089,0.0099,0.647,-0.173,10.022
4280,barefoot,16,12,18,9,8,13,12,22,1.0054,-0.0105,-0.0075,-0.0064,-1.994,0.967,10.099
4300,barefoot,16,14,12,8,17,16,7,13,1.0059,0.029,-0.0097,0.0167,0.624,-0.812,8.661
4320,barefoot,16,15,6,22,17,25,22,15,0.9961,-0.0122,-0.019,0.0076,0.446,-0.735,9.623
4340,barefoot,14,14,13,10,12,13,17,12,1.0006,-0.0015,-0.0261,0.0014,0.28,0.321,9.919
4360,barefoot,17,24,15,14,17,16,19,22,0.9791,-0.0226,-0.001,-0.0252,-0.732,-0.499,8.808
4380,barefoot,21,11,14,9,13,14,16,24,0.9875,-0.023,0.023,-0.013,0.679,-0.209,9.837
4400,barefoot,2840,1854,22,12,18,22,23,14,1.0076,-0.0355,-0.0053,-0.0033,1.406,-0.558,10.488
4420,barefoot,3249,2366,53,2,8,16,21,17,0.992,-0.0225,0.0034,0.004,-1.473,1.201,10.461
4440,barefoot,3380,2758,96,16,11,12,19,14,0.9982,-0.0299,0.039,-0.0119,0.252,0.17,9.889
4460,barefoot,3453,2972,152,10,13,6,14,22,0.9933,-0.0205,0.01,0.02,-1.305,-0.644,11.29
4480,barefoot,3525,3066,269,19,8,24,12,9,0.9955,0.0201,0.0141,0.0337,-2.299,0.515,10.662
4500,barefoot,3476,3082,402,17,18,12,20,18,0.9944,0.01,0.0339,0.0123,-0.179,0.397,9.267
4520,barefoot,3414,3135,653,12,19,18,7,19,0.9955,-0.0065,-0.0225,0.0062,0.236,0.823,9.91
4540,barefoot,3281,2940,970,8,6,12,11,15,1.0024,0.0296,0.0345,-0.0286,0.102,-0.136,11.251
4560,barefoot,2911,2720,1235,18,26,12,18,12,1.0048,-0.0035,0.0113,0.0127,-0.185,0.14,10.345
4580,barefoot,2394,2417,1589,19,21,15,14,13,0.9981,-0.0026,-0.0088,0.0002,0.398,-0.745,9.695
4600,barefoot,1703,2018,1748,30,48,18,2,17,1.0043,0.0123,0.0445,-0.0049,0.852,0.422,10.604
4620,barefoot,1075,1428,1818,65,90,19,12,17,0.9908,-0.0116,-0.0039,0.0124,-1.41,-0.997,9.969
4640,barefoot,580,952,1991,154,193,48,16,12,0.9913,-0.0418,-0.0022,-0.0078,-1.662,0.202,9.269
