t_ms,mode,fsr0,fsr1,fsr2,fsr3,fsr4,fsr5,fsr6,fsr7,qw,qx,qy,qz,ax,ay,az
660,shoe,19,20,14,26,21,19,589,551,0.9976,-0.0017,-0.0118,-0.0364,0.427,-0.5,9.473
680,shoe,8,15,15,21,20,13,276,343,0.9838,-0.0194,0.0121,-0.0595,0.606,-2.282,10.055
700,shoe,12,14,19,20,8,14,12,18,1.0072,-0.0146,0.0061,-0.0036,2.444,0.534,10.932
720,shoe,14,18,2,18,13,19,15,22,0.9885,0.0012,-0.0069,0.0221,-0.905,-0.874,10.137
740,shoe,5,14,15,19,16,18,22,4,1.0051,-0.0126,0.0188,-0.0085,0.083,0.564,10.02
760,shoe,17,14,20,7,2,11,17,13,0.9915,-0.0216,-0.013,-0.09,0.689,1.379,9.088
780,shoe,16,10,23,9,18,13,9,5,0.988,-0.0248,-0.0123,0.0277,-0.55,-0.998,10.214
800,shoe,16,11,17,17,18,15,14,17,0.9984,-0.0006,-0.0099,0.0272,-1.475,0.674,10.298
820,shoe,7,14,11,4,18,12,16,12,0.9871,0.0349,-0.0132,-0.0162,-0.698,-0.068,8.978
840,shoe,15,8,19,11,21,14,20,16,1.0003,-0.0558,0.0154,0.0082,1.31,0.351,11.379
860,shoe,16,22,23,13,9,9,14,19,0.9977,-0.008,-0.031,0.0275,-0.332,-0.905,9.006
880,shoe,19,15,11,16,19,10,15,19,0.9974,0.0004,0.0077,-0.0139,0.753,0.028,10.645
900,shoe,11,11,11,19,25,15,15,13,1.0145,-0.0169,-0.0388,-0.014,-0.904,0.125,9.641
920,shoe,17,19,13,15,3,15,17,17,1.0075,0.0442,-0.0364,0.006,0.549,1.095,9.964
940,shoe,24,9,12,10,12,12,5,30,0.9972,0.003,-0.0012,0.0166,-0.832,1.638,9.124
960,shoe,12,19,4,9,17,25,21,12,1.0075,-0.0347,0.0047,-0.0011,-1.037,0.246,9.321
980,shoe,12,14,3,16,10,13,16,17,1.0035,0.0047,-0.0041,0.0083,0.138,-0.271,10.443
1000,shoe,12,23,8,17,5,18,14,12,0.9963,-0.0244,-0.0426,0.0071,0.064,1.695,9.649
1020,shoe,7,11,11,16,15,15,9,19,0.9864,0.0154,0.0227,0.009,1.814,-0.074,9.519
1040,shoe,12,12,16,15,15,12,15,10,0.9924,-0.0003,0.021,0.0085,-1.999,-0.036,10.61
1060,shoe,22,10,12,15,10,17,24,17,1.0187,0.0233,-0.0183,-0.018,0.626,0.085,10.454
1080,shoe,9,8,15,7,15,20,11,7,1.0,-0.0199,0.0254,-0.0381,1.984,0.362,9.969
1100,shoe,3261,1987,31,14,18,14,6,15,1.0051,0.0071,-0.0134,-0.0097,1.676,0.548,10.028
1120,shoe,3529,2394,53,18,19,17,16,27,1.0163,0.0322,-0.0003,-0.0159,-0.473,-0.43,11.349
1140,shoe,3659,2724,70,9,16,28,14,9,0.9924,-0.0057,-0.0169,-0.0416,-0.839,-0.075,9.674
1160,shoe,3714,2956,111,16,8,10,14,12,1.0102,-0.0212,-0.0218,0.0272,-0.609,1.439,10.168
1180,shoe,3753,3073,206,18,12,13,7,19,0.9745,-0.0078,-0.0321,-0.0144,0.37,1.228,10.2
1200,shoe,3743,3123,346,26,3,17,16,9,0.9894,0.0038,-0.007,0.0182,0.233,0.348,8.582
1220,shoe,3674,3117,537,14,9,14,17,3,0.9782,-0.0081,0.0123,-0.016,0.43,0.218,8.109
1240,shoe,3598,3033,701,13,16,10,0,6,0.9994,0.0083,-0.0086,0.0054,0.737,-0.165,9.936
1260,shoe,3312,2799,1044,10,20,12,15,15,0.9997,0.0222,0.0114,0.006,-1.317,0.79,10.592
1280,shoe,2985,2455,1192,15,23,14,18,20,0.9923,-0.0175,0.0162,0.0065,-1.388,-0.382,10.002
1300,shoe,2405,2151,1460,26,41,15,10,15,0.9932,-0.0319,0.0294,-0.0038,-1.51,0.105,9.35
1320,shoe,1578,1609,1592,56,66,22,4,15,1.0283,-0.0189,0.0197,-0.0055,-1.652,-0.337,9.242
1340,shoe,833,1029,1738,140,157,43,15,20,1.0035,-0.0331,-0.0001,-0.0014,-0.122,-0.464,10.543
1360,shoe,409,605,1765,298,340,69,25,14,1.0047,-0.0164,0.0044,0.055,0.383,0.041,9.559
1380,shoe,150,291,1733,564,573,128,16,21,0.9908,-0.0062,-0.0036,0.027,3.117,0.015,8.397
1400,shoe,61,142,1531,847,904,257,26,22,0.9918,-0.0354,-0.0179,-0.0154,0.656,-0.429,10.426
1420,shoe,24,62,1386,1190,1344,434,19,13,1.0015,-0.0004,-0.0252,-0.0035,0.021,-0.038,10.034
1440,shoe,20,23,1256,1622,1594,654,22,22,0.9964,-0.0026,0.0335,-0.024,1.747,0.063,10.161
1460,shoe,11,16,967,2013,1958,886,38,21,0.9978,-0.0336,-0.0188,0.0333,-0.904,-0.345,10.745
1480,shoe,15,8,721,2295,2181,1149,93,24,0.9967,-0.0104,0.0105,0.0162,0.418,-0.486,10.996
1500,shoe,20,16,463,2347,2229,1319,186,42,0.9825,-0.0349,0.029,-0.004,1.198,-0.092,10.319
1520,shoe,20,10,332,2445,2170,1425,404,87,1.0032,0.0097,0.0035,-0.0227,0.968,0.546,9.668
1540,shoe,12,10,189,2495,2000,1448,666,176,1.0017,-0.0082,-0.012,-0.0201,0.497,0.854,7.948
1560,shoe,15,17,115,2431,1872,1429,1095,299,1.005,0.0068,0.0071,-0.0085,-0.429,0.154,10.085
1580,shoe,12,14,66,2192,1643,1324,1310,518,1.0064,0.0253,0.0307,-0.0095,-1.528,-0.193,9.691
1600,shoe,13,16,36,1772,1180,1092,1672,734,1.0175,0.0106,-0.0198,-0.0071,-0.189,-0.01,10.991
1620,shoe,14,13,21,1452,898,860,2023,971,0.9956,-0.003,-0.0187,-0.0045,-0.733,1.466,10.954
1640,shoe,20,16,19,959,559,515,2043,1096,1.0016,0.0031,-0.0109,-0.0242,0.848,0.708,10.244
1660,shoe,17,14,16,604,306,349,1896,1256,1.013,-0.0123,0.0149,0.0038,-0.168,-0.711,11.036
1680,shoe,21,8,2,345,152,206,1845,1270,0.9959,-0.0037,0.0156,-0.0016,0.691,-0.027,9.756
1700,shoe,22,15,16,168,63,104,1707,1191,1.0109,0.0318,-0.0121,0.0125,-1.98,-0.39,9.784
1720,shoe,8,12,15,74,39,55,1268,1032,0.9948,-0.0147,0.0009,-0.0272,1.197,-0.264,9.073
1740,shoe,16,13,11,46,23,34,851,787,0.9952,-0.0053,0.0174,0.0146,-1.049,-1.268,9.547
1760,shoe,12,15,15,23,10,13,528,574,0.9889,0.0014,-0.0245,0.0207,-1.922,0.034,10.01
1780,shoe,6,11,11,19,3,10,298,376,0.9982,0.0039,-0.0033,0.0067,-1.694,-1.019,10.76
1800,shoe,9,9,15,14,19,23,14,13,1.02,0.0115,0.008,-0.0168,-0.773,-0.434,9.172
1820,shoe,12,20,10,11,9,20,19,17,1.0177,-0.0262,0.0133,-0.017,1.382,1.167,10.532
1840,shoe,22,23,17,14,13,20,13,20,1.0005,-0.0134,0.0132,-0.0025,0.878,0.773,11.896
1860,shoe,14,12,16,13,10,13,12,19,1.0047,-0.0051,-0.0291,0.0059,-1.444,-0.647,8.631
1880,shoe,13,20,7,10,22,19,19,21,1.011,0.0023,-0.0021,0.0094,0.106,-0.773,9.593
1900,shoe,14,16,11,18,6,14,14,13,0.9891,0.0091,-0.0122,0.0008,-0.129,-0.68,9.841
1920,shoe,10,11,18,24,19,9,10,12,0.9955,0.0048,0.0041,-0.0336,-1.929,-1.421,10.712
1940,shoe,15,10,16,16,1,13,22,5,0.9978,-0.002,0.0081,-0.0064,-1.219,-0.733,11.583
1960,shoe,14,12,15,14,18,13,13,6,0.9811,-0.0215,-0.0027,-0.0012,-2.507,-0.192,10.915
1980,shoe,6,12,9,11,11,9,16,18,0.9918,-0.0261,0.0042,-0.0113,-1.07,-0.783,9.79
2000,shoe,11,12,11,7,2,11,22,17,0.9934,-0.0269,0.0433,0.0074,-3.261,0.589,9.069
2020,shoe,31,13,15,17,14,11,8,15,0.9963,0.013,0.0366,0.0216,-0.979,-0.025,9.772
2040,shoe,17,8,16,17,13,17,13,13,0.9974,0.0275,0.0186,-0.0241,-1.152,-0.391,9.788
2060,shoe,14,18,14,10,6,19,19,8,0.9771,-0.0202,0.0006,0.0095,-0.98,1.346,10.038
2080,shoe,17,8,10,15,16,20,13,3,1.0038,-0.031,0.0406,-0.0172,-1.013,0.553,9.03
2100,shoe,9,9,13,10,14,20,12,11,0.9945,-0.0108,-0.0133,-0.0191,1.422,0.068,11.173
2120,shoe,14,19,12,21,16,9,13,13,1.0041,0.0008,-0.0362,-0.0063,-0.428,1.421,9.181
2140,shoe,18,18,8,15,7,17,13,1,1.0053,-0.0144,-0.0044,0.0368,0.297,1.015,10.425
2160,shoe,6,21,9,16,10,18,13,21,0.9977,-0.0083,-0.0194,0.0111,0.928,-0.523,10.011
2180,shoe,10,15,10,23,9,16,16,11,1.017,0.0095,-0.0474,-0.0049,1.107,0.261,8.85
2200,shoe,3308,2034,18,3,14,9,15,16,0.9826,0.0035,-0.0226,0.0227,0.836,-0.319,9.88
2220,shoe,3584,2533,38,16,11,0,23,21,0.9989,-0.0127,-0.0089,0.0012,-0.681,-1.08,9.839
2240,shoe,3679,2801,69,16,9,15,16,22,1.0001,-0.0293,-0.0099,0.0086,-1.349,1.461,9.654
2260,shoe,3736,2946,123,13,21,10,22,13,1.0135,-0.0067,0.0066,-0.0215,-0.957,1.158,10.537
2280,shoe,3783,3099,210,14,11,19,15,19,0.9983,0.0175,0.0116,-0.0209,-0.581,-0.954,9.4
2300,shoe,3743,3149,335,20,19,7,23,19,1.0047,-0.037,0.0115,-0.0304,0.006,0.39,12.078
2320,shoe,3700,3130,512,11,18,17,14,15,1.0012,0.0265,-0.024,0.0175,-0.106,-1.237,10.822
2340,shoe,3566,3044,745,12,11,12,20,16,1.0195,-0.0003,0.0139,-0.0289,1.347,0.833,9.009
2360,shoe,3366,2784,961,25,8,8,15,10,0.996,0.0261,0.0315,0.0273,-0.127,-0.026,7.611
2380,shoe,2896,2479,1299,25,25,13,22,16,0.9905,-0.0167,-0.0057,-0.0285,2.203,-0.207,10.934
2400,shoe,2412,2126,1513,35,44,16,10,11,0.9944,-0.0194,-0.0054,-0.0012,1.265,0.974,10.043
2420,shoe,1710,1582,1686,63,86,27,12,13,1.0035,-0.0302,0.0087,0.0033,-0.592,0.022,9.892
2440,shoe,911,995,1688,151,179,38,16,15,1.0134,0.0009,0.0114,-0.0244,1.057,-0.183,8.953
2460,shoe,430,568,1675,286,344,72,10,19,0.976,-0.0011,-0.0003,-0.0413,-3.532,0.712,8.541
2480,shoe,159,256,1726,501,589,146,22,13,0.9866,-0.0078,0.0074,-0.0118,1.692,-0.217,8.165
2500,shoe,59,149,1538,829,906,223,14,13,1.0133,-0.0019,-0.0199,0.031,0.505,0.681,12.098
2520,shoe,17,55,1415,1277,1314,414,20,12,0.9951,0.0052,-0.0368,0.0275,0.488,0.017,11.244
2540,shoe,17,23,1218,1683,1592,635,29,29,0.992,-0.0193,-0.013,-0.0272,-2.068,0.646,9.329
2560,shoe,16,25,1060,1942,1924,1007,46,15,0.9948,0.0147,-0.0092,-0.0002,3.095,0.494,11.486
2580,shoe,12,1,717,2249,2145,1134,84,26,0.9905,-0.0348,-0.0026,-0.0055,-0.313,0.619,8.172
2600,shoe,14,7,492,2485,2218,1370,191,34,0.9887,-0.0129,-0.012,0.0219,-0.176,-0.755,10.439
2620,shoe,19,7,329,2437,2254,1479,365,80,1.0002,0.0032,-0.02,0.0065,1.382,1.454,10.445
2640,shoe,12,10,189,2518,2048,1383,654,141,0.9917,-0.0088,0.0029,-0.0187,-0.238,-0.108,9.054
2660,shoe,13,4,114,2263,1856,1540,1053,297,1.0163,-0.0004,0.0087,0.0446,-1.045,1.363,9.413
2680,shoe,11,18,60,2114,1635,1321,1378,477,0.9746,-0.0347,-0.0066,0.0152,0.808,-0.441,8.89
2700,shoe,16,19,31,1790,1369,1046,1715,738,1.0046,-0.0098,-0.009,-0.017,-1.245,-0.194,9.855
2720,shoe,13,14,19,1353,823,789,1947,971,0.9923,-0.0048,0.0001,0.0234,0.912,-0.186,10.987
2740,shoe,10,12,18,998,540,562,1905,1109,1.0159,-0.0317,-0.0123,0.0163,0.169,0.901,10.702
2760,shoe,13,6,18,609,304,338,1988,1266,0.9895,0.0074,0.0085,0.0244,1.383,-0.312,10.188
2780,shoe,23,16,19,316,156,205,1891,1318,1.0043,-0.0283,-0.012,-0.0238,-1.487,0.334,10.811
2800,shoe,6,10,12,182,86,105,1581,1233,1.0155,-0.0203,-0.0403,0.0031,1.529,-1.186,8.227
2820,shoe,7,17,21,75,31,49,1253,1069,1.0049,-0.0295,0.0354,-0.0141,0.36,-0.352,11.616
2840,shoe,16,19,18,40,22,29,901,863,0.993,-0.0002,0.0068,-0.0038,2.423,0.187,9.771
2860,shoe,7,14,21,20,13,19,550,523,0.9975,-0.0194,0.017,-0.0046,-0.8,-0.068,8.643
2880,shoe,24,3,10,18,11,16,302,368,1.0013,0.0077,-0.0048,0.0078,2.279,-1.422,9.475
2900,shoe,7,9,17,21,11,15,12,17,1.0139,0.0124,-0.0039,-0.0206,0.863,0.399,9.236
2920,shoe,8,21,19,23,23,12,19,13,1.0007,-0.011,0.0006,0.0203,0.968,-0.726,9.899
2940,shoe,12,15,5,8,23,11,15,19,1.0055,0.0066,0.0018,-0.0091,-0.893,1.504,10.094
2960,shoe,19,21,18,7,21,14,18,7,0.9883,0.0307,-0.0036,0.0077,0.685,-0.131,7.733
2980,shoe,18,3,16,0,5,5,23,18,0.9999,-0.0368,-0.0179,-0.0025,0.822,1.751,10.939
3000,shoe,17,13,18,17,15,16,3,10,1.0117,-0.0379,0.0113,0.0056,-1.02,0.526,11.357
3020,shoe,16,13,15,22,26,16,7,14,0.9965,0.0308,0.0004,0.0148,-1.42,0.369,8.89
3040,shoe,20,6,20,16,16,0,8,25,0.9945,-0.0214,0.0383,-0.0077,-0.949,-0.353,11.132
3060,shoe,5,11,12,13,10,9,8,20,0.9955,0.0527,-0.0168,0.0173,1.795,-0.074,10.938
3080,shoe,15,19,11,18,17,14,15,12,1.0108,0.0132,-0.0082,-0.0089,0.192,0.364,10.719
3100,shoe,21,17,18,10,12,3,15,12,1.0044,-0.0492,-0.0018,0.0076,1.149,-1.482,11.272
3120,shoe,9,11,18,18,12,16,23,19,1.0033,0.0135,-0.0393,-0.0026,0.354,0.781,8.573
3140,shoe,16,16,7,21,15,19,21,19,0.9921,-0.0064,-0.018,-0.0142,0.143,-0.885,10.462
3160,shoe,20,20,20,20,16,16,16,14,0.9818,-0.0017,-0.0406,-0.0458,0.272,-0.183,8.91
3180,shoe,20,9,20,18,13,19,14,18,1.0098,0.013,-0.0138,-0.017,-0.504,-2.09,11.931
3200,shoe,13,15,19,12,14,14,17,12,0.995,-0.0155,0.0021,-0.014,1.498,0.365,8.945
3220,shoe,23,19,10,13,9,18,16,0,1.0077,-0.0098,0.0018,-0.0104,0.212,0.59,8.718
3240,shoe,17,10,20,10,14,18,12,20,1.0044,-0.0007,0.0202,0.025,0.276,0.234,10.818
3260,shoe,19,20,17,23,17,13,18,12,0.9935,-0.0374,0.0038,-0.0204,-1.699,0.264,10.369
3280,shoe,9,13,19,20,14,14,12,17,0.9884,-0.0092,0.0195,0.0115,0.379,-0.271,9.838
3300,shoe,10,19,14,14,13,6,14,13,1.0085,0.0017,0.01,0.0525,-0.829,0.132,9.936
3320,shoe,3502,2435,33,14,7,7,13,13,0.9782,-0.0028,-0.045,-0.0189,-0.615,0.947,10.362
3340,shoe,3718,2833,62,16,19,19,11,10,0.9761,-0.0006,0.0024,0.0082,1.272,-0.313,11.36
3360,shoe,3722,2924,115,11,8,19,11,18,1.0148,-0.0033,-0.0314,0.0144,-1.34,0.402,9.175
3380,shoe,3730,3163,231,17,17,10,14,19,0.991,-0.0419,0.0124,0.0004,-0.246,0.576,9.311
3400,shoe,3755,3165,343,17,12,6,14,21,1.0011,-0.0207,0.0249,0.0031,0.771,-0.166,9.296
3420,shoe,3686,3087,520,17,18,4,8,18,1.0098,-0.0417,0.0267,0.0133,1.413,0.198,9.747
3440,shoe,3596,3065,736,15,20,20,22,17,1.02,0.003,0.0062,0.0487,-0.636,0.184,9.824
3460,shoe,3435,2901,949,4,15,16,23,12,0.9892,0.0159,-0.0002,-0.0142,0.392,-0.367,8.659
3480,shoe,3009,2540,1273,20,9,24,22,15,0.9974,-0.0001,-0.028,0.0101,0.35,1.893,10.084
3500,shoe,2353,2183,1387,26,30,23,20,16,1.0082,-0.0431,0.0144,0.0037,-1.385,-0.32,8.679
3520,shoe,1628,1621,1624,54,73,32,14,2,0.9991,-0.0105,0.004,0.0424,-2.626,1.337,9.534
3540,shoe,1020,1078,1695,145,157,39,9,8,0.9913,0.0127,-0.006,0.0309,-2.365,0.841,9.589
3560,shoe,408,620,1701,271,311,69,9,13,1.0086,0.0064,-0.0269,0.0393,0.735,-1.557,9.594
3580,shoe,166,315,1665,532,660,121,6,18,0.9823,0.0121,-0.028,0.0115,0.125,0.209,11.142
3600,shoe,54,139,1641,836,933,239,13,21,1.009,0.0134,-0.0104,0.0081,-1.644,0.812,11.282
3620,shoe,24,62,1441,1200,1377,437,8,23,0.9987,-0.024,0.0158,0.0011,-0.786,0.645,10.78
3640,shoe,10,29,1231,1595,1680,743,23,11,0.9991,0.002,-0.0012,-0.0072,-0.491,-0.684,11.233
3660,shoe,21,13,1020,1948,1923,968,43,18,0.9923,0.0034,-0.0182,-0.0155,-0.44,0.215,9.555
3680,shoe,12,8,776,2229,2156,1108,90,21,0.9967,-0.0227,0.0151,0.0074,-0.038,-0.913,11.076
3700,shoe,20,13,471,2405,2281,1295,181,40,1.0096,-0.0142,0.0209,0.0156,2.706,-0.79,9.765
3720,shoe,18,20,330,2450,2179,1534,404,80,1.0016,-0.0051,0.0042,0.0065,-0.96,-0.171,10.016
3740,shoe,10,19,195,2561,2098,1447,668,169,1.0103,0.0358,-0.0054,-0.031,0.175,0.16,10.057
3760,shoe,13,22,95,2333,1808,1357,1076,297,1.0049,0.0182,0.0048,0.0107,-0.945,1.257,8.611
3780,shoe,17,18,64,2100,1717,1333,1402,507,0.9953,-0.002,-0.0034,0.0554,-0.772,0.291,9.264
3800,shoe,16,11,38,1780,1165,1071,1699,719,0.9964,-0.0013,0.0105,-0.0013,-1.081,0.835,9.668
3820,shoe,22,7,26,1400,845,841,1852,955,0.9996,-0.0339,-0.0225,-0.0212,-0.284,-0.915,10.14
3840,shoe,20,11,18,1020,545,561,2026,1209,0.9947,-0.0016,0.024,0.0262,-0.679,-0.882,9.698
3860,shoe,16,13,15,574,297,334,2006,1232,1.013,0.0175,0.0003,-0.02,0.427,-0.362,9.046
3880,shoe,17,10,16,338,177,204,1813,1274,0.9876,-0.0103,0.0457,0.0027,0.26,1.372,8.771
3900,shoe,11,19,15,156,73,109,1571,1202,1.0162,0.0083,-0.0427,0.006,-1.096,-1.024,9.82
3920,shoe,11,10,14,87,35,56,1226,1025,0.9922,0.025,-0.018,-0.0106,2.351,-1.213,8.749
3940,shoe,17,17,22,41,28,25,908,760,0.9903,-0.0083,-0.0308,-0.0184,-1.435,-0.045,8.752
3960,shoe,16,18,19,21,21,16,519,552,0.9988,-0.0326,0.0,0.0059,0.435,0.936,9.718
3980,shoe,9,5,18,12,23,25,285,339,0.9863,-0.0042,0.0073,-0.0229,2.658,-1.251,9.971
4000,shoe,14,12,11,13,11,16,14,16,1.0156,-0.0052,-0.0125,0.0078,-0.876,-0.183,9.065
4020,shoe,10,20,12,10,7,13,7,9,1.0154,0.0512,0.0029,0.0098,1.625,-1.04,8.21
4040,shoe,11,18,19,8,19,9,7,22,1.0134,-0.004,0.0033,-0.0224,1.74,1.137,10.068
4060,shoe,20,15,9,19,6,11,15,14,1.0166,-0.0044,-0.0165,0.0146,0.414,0.55,10.546
4080,shoe,10,8,19,13,12,15,20,15,1.0116,0.0178,-0.0015,-0.0252,-2.267,0.225,9.443
4100,shoe,11,10,7,12,13,8,16,8,0.9809,-0.0169,-0.024,0.0047,1.74,-0.025,9.473
4120,shoe,17,14,24,12,23,14,14,20,1.0058,-0.0088,-0.0097,-0.0146,0.112,-0.17,7.721
4140,shoe,14,20,20,16,14,13,12,7,0.992,-0.0052,-0.0125,-0.0242,-0.672,0.119,10.622
4160,shoe,15,16,11,13,8,4,12,11,1.0077,-0.0059,-0.015,-0.0101,1.564,-0.491,8.825
4180,shoe,7,13,12,11,14,14,12,11,0.9963,0.0052,-0.0226,0.0031,-0.89,-0.674,10.457
4200,shoe,14,15,4,16,21,20,17,14,0.9947,0.001,0.0057,0.0143,1.304,-0.852,9.28
4220,shoe,12,18,14,15,5,12,19,7,0.99,-0.0485,-0.0016,0.0123,-0.673,0.021,9.683
4240,shoe,10,5,20,10,7,13,17,10,1.0049,0.0198,0.035,-0.0173,0.656,-0.607,9.641
4260,shoe,11,9,17,9,19,15,11,17,1.01,-0.0112,-0.0434,-0.0022,-1.321,0.691,8.193
4280,shoe,13,14,13,21,14,11,17,14,0.9883,0.0115,-0.0032,-0.0527,-0.487,-1.622,12.285
4300,shoe,18,20,24,13,9,5,19,15,1.0029,-0.0005,0.0006,0.0162,-1.124,0.452,8.403
4320,shoe,23,19,17,20,13,14,5,19,1.0036,0.0098,0.01,-0.0002,-0.874,0.426,9.909
4340,shoe,15,10,16,17,14,12,15,16,0.998,0.024,0.004,-0.0032,0.228,0.956,9.079
4360,shoe,21,14,13,14,8,11,11,19,0.9972,-0.0059,0.0457,-0.0057,-0.211,-0.185,9.597
4380,shoe,15,10,17,13,11,21,14,14,1.0109,-0.0109,-0.0161,-0.0382,0.23,-1.157,11.049
4400,shoe,3281,1972,37,22,21,15,8,10,1.0122,0.0055,-0.0338,0.0061,1.571,-0.708,8.134
4420,shoe,3507,2460,39,11,15,10,9,23,1.0064,-0.004,0.0103,0.0028,-0.142,0.891,9.682
4440,shoe,3654,2817,59,12,20,11,13,6,1.0062,0.0333,-0.0178,-0.0018,-2.281,-0.227,10.253
4460,shoe,3755,3001,119,10,14,22,11,7,1.0067,-0.0064,0.002,0.0205,-0.354,-0.311,9.919
4480,shoe,3774,3100,211,13,11,18,11,8,0.9934,-0.0135,-0.007,-0.003,0.097,-0.445,10.167
4500,shoe,3792,3153,357,10,15,5,10,26,0.9985,0.0374,0.0406,-0.0107,1.247,-0.041,9.135
4520,shoe,3697,3137,494,15,10,17,16,15,0.9995,-0.0154,-0.0208,0.0226,1.266,-0.168,8.334
4540,shoe,3556,2963,793,9,17,12,19,20,0.99,0.0137,0.0311,-0.0048,1.164,-1.202,8.63
4560,shoe,3346,2830,980,19,16,11,9,6,1.0071,-0.0136,0.008,-0.0173,-0.28,-0.455,9.442
4580,shoe,3013,2474,1210,22,22,20,15,9,1.0179,0.0114,0.0029,-0.044,0.79,0.793,10.478
4600,shoe,2488,2124,1430,36,40,20,12,16,1.0194,0.0298,0.0014,-0.0093,-1.769,1.136,9.883
4620,shoe,1741,1586,1695,59,79,17,15,12,0.9969,0.0258,-0.0215,-0.0086,1.583,-0.086,11.254
4640,shoe,910,1082,1750,134,172,34,19,15,0.9945,-0.0094,-0.0001,-0.0221,0.536,-0.393,9.901
4660,shoe,404,578,1695,276,329,74,15,17,0.9912,0.0097,0.0019,0.0089,0.621,1.065,9.984
4680,shoe,153,298,1641,513,554,134,13,15,1.006,0.0223,-0.0081,-0.0332,-0.466,-0.129,9.99
4700,shoe,62,127,1508,879,919,245,9,15,0.9984,0.0012,-0.0258,-0.0022,0.067,-0.908,8.252
4720,shoe,23,50,1493,1339,1255,393,22,15,1.0107,0.0356,-0.0117,0.0007,-0.821,-0.09,10.329
